year,county_fips,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct
2008,45087,0.4379750571913512,0.5497011290679654,REPUBLICAN,0.5497011290679654
2012,45087,0.4621641017462722,0.5249980065385536,DEMOCRAT,0.4621641017462722
2016,45087,0.39108501488587494,0.5839397949057228,DEMOCRAT,0.39108501488587494
2020,45087,0.062042694425586485,0.10287646777802922,REPUBLICAN,0.10287646777802922
2024,45087,0.047475675110144964,0.09418411355102706,DEMOCRAT,0.047475675110144964
2000,45089,0.5933280381254964,0.39925867090283296,DEMOCRAT,0.5933280381254964
2004,45089,0.6498060066101451,0.34451789050150883,REPUBLICAN,0.34451789050150883
2008,45089,0.6859453870948123,0.3043240284619595,REPUBLICAN,0.3043240284619595
2012,45089,0.6952281648675172,0.2958783120706575,DEMOCRAT,0.6952281648675172
2016,45089,0.6611531818785705,0.32310349408795,DEMOCRAT,0.6611531818785705
2020,45089,0.1072776561359608,0.05767907413199875,REPUBLICAN,0.05767907413199875
2024,45089,0.0860731731631941,0.055069285215830925,DEMOCRAT,0.0860731731631941
2000,45091,0.3541977148534526,0.6214421077809056,DEMOCRAT,0.3541977148534526
2004,45091,0.3451931434433821,0.6445334207264074,REPUBLICAN,0.6445334207264074
2008,45091,0.40469176912568305,0.5816683743169399,REPUBLICAN,0.5816683743169399
2012,45091,0.3904899710607724,0.5942121544756013,DEMOCRAT,0.3904899710607724
2016,45091,0.36371188471191096,0.5837333962940616,DEMOCRAT,0.36371188471191096
2020,45091,0.06827259053569362,0.09571560800647923,REPUBLICAN,0.09571560800647923
2024,45091,0.05673958719094299,0.08400410124398688,DEMOCRAT,0.05673958719094299
2000,46003,0.3630573248407643,0.5994338287331918,DEMOCRAT,0.3630573248407643
2004,46003,0.3759854457246816,0.6118859915100061,REPUBLICAN,0.6118859915100061
2008,46003,0.44618528610354224,0.5408719346049047,REPUBLICAN,0.5408719346049047
2012,46003,0.39714285714285713,0.5742857142857143,DEMOCRAT,0.39714285714285713
2016,46003,0.24164889836531628,0.6922530206112296,DEMOCRAT,0.24164889836531628
2020,46003,0.22562277580071174,0.7487544483985765,REPUBLICAN,0.7487544483985765
2024,46003,0.21679827709978464,0.7580760947595119,DEMOCRAT,0.21679827709978464
2000,46005,0.41555756557694795,0.5617004780979454,DEMOCRAT,0.41555756557694795
2004,46005,0.4060141509433962,0.5798349056603773,REPUBLICAN,0.5798349056603773
2008,46005,0.4577981651376147,0.5313237221494103,REPUBLICAN,0.5313237221494103
2012,46005,0.3966680435081922,0.5824039653035935,DEMOCRAT,0.3966680435081922
2016,46005,0.28233904311872415,0.6578558771411696,DEMOCRAT,0.28233904311872415
2020,46005,0.29755684225391893,0.6790001412229911,REPUBLICAN,0.6790001412229911
2024,46005,0.2877318116975749,0.6884450784593438,DEMOCRAT,0.2877318116975749
2000,46007,0.3378136200716846,0.6379928315412187,DEMOCRAT,0.3378136200716846
2004,46007,0.4656441717791411,0.5110429447852761,REPUBLICAN,0.5110429447852761
2008,46007,0.46846089150546677,0.5164003364171573,REPUBLICAN,0.5164003364171573
2012,46007,0.45552784704904403,0.5203657522859518,DEMOCRAT,0.45552784704904403
2016,46007,0.35857267188859876,0.5796344647519582,DEMOCRAT,0.35857267188859876
2020,46007,0.39391377852916315,0.5866441251056635,REPUBLICAN,0.5866441251056635
2024,46007,0.35753676470588236,0.6213235294117647,DEMOCRAT,0.35753676470588236
2000,46009,0.37018158649251354,0.6056068811723478,DEMOCRAT,0.37018158649251354
2004,46009,0.37940140845070425,0.6053403755868545,REPUBLICAN,0.6053403755868545
2008,46009,0.43870346598202825,0.5494223363286265,REPUBLICAN,0.5494223363286265
2012,46009,0.3796356538711776,0.5953155497722836,DEMOCRAT,0.3796356538711776
2016,46009,0.2367182246133154,0.7078009414929388,DEMOCRAT,0.2367182246133154
2020,46009,0.24025324891702765,0.7447517494168611,REPUBLICAN,0.7447517494168611
2024,46009,0.23295454545454544,0.7473262032085561,DEMOCRAT,0.23295454545454544
2000,46011,0.41387472687545523,0.5655498907501821,DEMOCRAT,0.41387472687545523
2004,46011,0.40695327102803736,0.5728598130841122,REPUBLICAN,0.5728598130841122
2008,46011,0.5226629922401914,0.466386249909348,REPUBLICAN,0.466386249909348
2012,46011,0.46991935483870967,0.5016129032258064,DEMOCRAT,0.46991935483870967
2016,46011,0.38477917981072557,0.5321766561514195,DEMOCRAT,0.38477917981072557
2020,46011,0.41944120271847324,0.5491865174709961,REPUBLICAN,0.5491865174709961
2024,46011,0.40016065332351564,0.5740009371443872,DEMOCRAT,0.40016065332351564
2000,46013,0.43325682532012566,0.547233631311911,DEMOCRAT,0.43325682532012566
2004,46013,0.427065971288779,0.558417119199957,REPUBLICAN,0.558417119199957
2008,46013,0.5240248072798933,0.46757085724221875,REPUBLICAN,0.46757085724221875
2012,46013,0.45120736868309685,0.5178615882499378,DEMOCRAT,0.45120736868309685
2016,46013,0.33833933225766416,0.596561995780067,DEMOCRAT,0.33833933225766416
2020,46013,0.37259930472445435,0.6029520715791873,REPUBLICAN,0.6029520715791873
2024,46013,0.35645132899137477,0.6245966085783019,DEMOCRAT,0.35645132899137477
2000,46015,0.3774803876326719,0.5851407475772958,DEMOCRAT,0.3774803876326719
2004,46015,0.39558767592240396,0.5872955496386458,REPUBLICAN,0.5872955496386458
