STCOFIPS10,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM
19113,2010,0.513040423393,0.545201301575,0.5132400989532
19113,2012,0.755327224731,0.746736884117,0.526616692543
19113,2014,0.532879829407,0.565458595753,0.5275704264641
19113,2016,0.723883092403,0.7632599473,0.4978328049183
19113,2018,0.57870310545,0.656616926193,NA
19113,2020,0.723243296146,0.796387434006,0.5668007135391
19113,2022,0.531643331051,0.578818202019,0.5559983849525
19115,2010,0.428177833557,0.457207798958,0.3804818093777
19115,2012,0.627175927162,0.64378452301,0.4291931688786
19115,2014,0.433734953403,0.461538463831,0.4154317677021
19115,2016,0.643753945827,0.657683312893,0.3664508163929
19115,2018,0.457991689444,0.531073451042,NA
19115,2020,0.638383865356,0.732878565788,0.3431017398834
19115,2022,0.42317289114,0.488343387842,0.3207316696644
19117,2010,0.559227824211,0.565339565277,0.3615983128548
19117,2012,0.673976838589,0.685624480247,0.4051150977612
19117,2014,0.499691367149,0.533267438412,0.3903650939465
19117,2016,0.677777767181,0.71682715416,0.3439330160618
19117,2018,0.536764621735,0.603049576283,NA
19117,2020,0.693215310574,0.764976978302,0.2879248261452
19117,2022,0.519016623497,0.573594868183,0.2797595262527
19119,2010,0.623995184898,0.614630103111,0.1891775876284
19119,2012,0.789682090282,0.760133981705,0.2072197645903
19119,2014,0.530168294907,0.520042419434,0.1901255697012
19119,2016,0.772956728935,0.744845986366,0.156429708004
19119,2018,0.607151091099,0.615123093128,NA
19119,2020,0.801203429699,0.796869575977,0.1599788367748
19119,2022,0.581578314304,0.579365968704,0.1470070332289
19121,2010,0.605374455452,0.597530245781,0.3508433103561
19121,2012,0.752863407135,0.705033004284,0.3879801034927
19121,2014,0.572183728218,0.57850009203,0.3808445930481
19121,2016,0.754419386387,0.738422393799,0.3441320061684
19121,2018,0.614683330059,0.649923920631,NA
19121,2020,0.787987828255,0.808020353317,0.330510020256
19121,2022,0.60724568367,0.613476634026,0.3262538015842
19123,2010,0.508064508438,0.549667179585,0.3027813136578
19123,2012,0.654181599617,0.66904938221,0.3458053767681
19123,2014,0.470630407333,0.510997235775,0.3297580778599
19123,2016,0.640752911568,0.659106254578,0.2868210971355
19123,2018,0.514782011509,0.576779544353,NA
19123,2020,0.681577563286,0.753865361214,0.2661207318306
19123,2022,0.486824095249,0.553122460842,0.2542876601219
19125,2010,0.529594540596,0.531632244587,0.340538829565
19125,2012,0.716239690781,0.707927882671,0.3819086849689
19125,2014,0.537895143032,0.543594300747,0.3724692165852
19125,2016,0.719927966595,0.710376679897,0.3365003168583
19125,2018,0.587245941162,0.622174561024,NA
19125,2020,0.752588927746,0.780735075474,0.333054959774
