county_fips,year,state,county_name,dem_votes,rep_votes,seat_status,total_votes,two_party_total,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct
01027,2014,AL,CLAY,1223,3214,Republican Incumbent,4440,4437,0.2756366914581925,0.7243633085418075,REPUBLICAN,0.7243633085418075
01027,2018,AL,CLAY,1241,4164,Republican Open Seat,5414,5405,0.2296022201665125,0.7703977798334876,REPUBLICAN,0.7703977798334876
01029,2002,AL,CLEBURNE,2172,2680,Democratic Incumbent,4957,4852,0.4476504534212696,0.5523495465787304,DEMOCRAT,0.4476504534212696
01029,2006,AL,CLEBURNE,1415,2662,Republican Incumbent,4108,4077,0.34706892322786365,0.6529310767721364,REPUBLICAN,0.6529310767721364
01029,2010,AL,CLEBURNE,1471,3678,Republican Open Seat,5171,5149,0.28568654107593705,0.714313458924063,REPUBLICAN,0.714313458924063
01029,2014,AL,CLEBURNE,717,3129,Republican Incumbent,3850,3846,0.18642745709828393,0.8135725429017161,REPUBLICAN,0.8135725429017161
01029,2018,AL,CLEBURNE,508,3902,Republican Open Seat,4424,4410,0.11519274376417234,0.8848072562358277,REPUBLICAN,0.8848072562358277
01031,2002,AL,COFFEE,5839,6846,Democratic Incumbent,12920,12685,0.4603074497437919,0.5396925502562081,DEMOCRAT,0.4603074497437919
01031,2006,AL,COFFEE,4526,8634,Republican Incumbent,13203,13160,0.3439209726443769,0.6560790273556231,REPUBLICAN,0.6560790273556231
01031,2010,AL,COFFEE,5647,9535,Republican Open Seat,15218,15182,0.3719536292978527,0.6280463707021473,REPUBLICAN,0.6280463707021473
01031,2014,AL,COFFEE,2405,8555,Republican Incumbent,10970,10960,0.21943430656934307,0.780565693430657,REPUBLICAN,0.780565693430657
01031,2018,AL,COFFEE,3782,12117,Republican Open Seat,15972,15899,0.23787659601232783,0.7621234039876722,REPUBLICAN,0.7621234039876722
01033,2002,AL,COLBERT,9783,7069,Democratic Incumbent,17136,16852,0.580524566816995,0.419475433183005,DEMOCRAT,0.580524566816995
01033,2006,AL,COLBERT,8281,7386,Republican Incumbent,15778,15667,0.5285632220591051,0.4714367779408949,REPUBLICAN,0.4714367779408949
01033,2010,AL,COLBERT,7586,9181,Republican Open Seat,16800,16767,0.45243633327369237,0.5475636667263076,REPUBLICAN,0.5475636667263076
