year,state,gas_price
2006,RI,3.640679347826087
2006,SC,3.3364347826086957
2006,SD,3.5227418478260866
2006,TN,3.4030951086956516
2006,TX,3.415059782608696
2006,UT,3.497103260869565
2006,VA,3.4201875000000004
2006,VT,3.572309782608695
2006,WA,3.7517798913043476
2006,WI,3.6082038043478257
2006,WV,3.5586358695652165
2006,WY,3.4731739130434782
2008,AK,3.6362983532450763
2008,AL,3.1439845011301264
2008,AR,3.114738133677753
2008,AZ,3.154951888924766
2008,CA,3.2853419438165967
2008,CO,3.1793238618017434
2008,CT,3.2500025831449793
2008,DC,3.2597513722957703
2008,DE,3.1756680658701972
2008,FL,3.114738133677753
2008,GA,3.0599011947045525
2008,HI,3.592428802066516
2008,IA,3.118393929609299
2008,ID,3.24878398450113
2008,IL,3.1732308685824986
