state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean
FL,2012,12011,-0.004078693776480624,0.21603075800990412,2.8000000000000007,-7203.2902907943935,0.10000000000000853,-0.10000000000000142,0.0016901731571979939,-0.03331431874669499,0.025039463486420027,0.0031363249588340983,1.1658547100460012e-4,-862542.7,870098.9,4.799999999999997,-89555.11447643791,0.10000000000000142,0.30000000000000004,0.1299999999999999,0.7000000000000028,63903,52.936523777349976,-0.010706325243897363,0.0028432708233805427,DEMOCRAT,REPUBLICAN,FALSE,0.6719952619040694,0.0019524902228510443
FL,2016,12011,-0.006908015179202254,-0.3918156885981521,-4.2,2835.1754936120997,-1.7999999999999972,0.29999999999999716,0.009888296447381983,-0.01930561044338297,0.013261003658085968,0.003221137365021401,0.00113790102221415,0,85561,26.6,-274122.2727932631,2.3000000000000043,0.10000000000000009,0.06999999999999984,1.0999999999999979,94495,78.27859121387996,0.0038915712139424574,-0.0026342068723932133,DEMOCRAT,DEMOCRAT,TRUE,0.6650872467248672,0.0021352696033994367
FL,2012,12021,-0.04493994102428306,0.21603075800990412,0.5999999999999996,-15206.561400023696,-3.200000000000003,3,0.0012954592671429732,-0.011259176516166036,0.011785212674150995,0.0052712446814662806,0.0014873906266243601,-135511.9,135715.9,2.900000000000002,-6470.142713716006,-1.6000000000000085,0.10000000000000009,-0.020000000000000018,2.099999999999998,17169,8.591103026051996,-0.02798808249422491,0.01583387189509876,DEMOCRAT,REPUBLICAN,FALSE,0.3467058318579323,-0.07572172709473163
FL,2016,12021,0.010957717902298159,-0.3918156885981521,-2.5999999999999996,6093.830168408895,-1.2000000000000028,2.299999999999997,0.029109191728386996,-0.003667498243946965,0.00655840607040141,-7.443681100211992e-4,7.696192972485999e-5,0,19411,46.7,342470.775261324,-0.09999999999999432,0,-0.06000000000000005,0.10000000000000142,32709,16.367079554959986,0.02373981773237821,-0.00791406406710967,DEMOCRAT,DEMOCRAT,TRUE,0.35766354976023046,0.04098595961639018
FL,2012,12031,-0.01591728518116753,0.21603075800990412,3,-14539.015985918704,-4.400000000000006,-0.8000000000000043,0.028623005637119003,-0.012506611649791943,-0.00424013534526102,0.006744243493330297,-9.169927277683097e-4,-418061.6,391864.1,4.100000000000001,-45143.27531594399,-1,0.09999999999999987,0.1299999999999999,-0.10000000000000142,28640,37.56150860113007,-0.013285028486075046,0.0014214837807683782,DEMOCRAT,REPUBLICAN,FALSE,0.4776932266272994,-0.017077977586859576
FL,2016,12031,-0.0022913846832048335,-0.3918156885981521,-4.1,8600.168699187001,0,0.30000000000000426,0.029889744035304977,-0.014555150486003976,0.006032784019755044,1.3702780555550215e-4,-6.314099493952203e-4,-0.2,47993,16.700000000000003,-52026.28121370499,0.29999999999999716,0.5,-0.06000000000000005,1.1999999999999993,46653,61.18565156313002,-0.022567375234224252,0.0067046826617115605,DEMOCRAT,DEMOCRAT,TRUE,0.47540184194409457,0.022332352856946118
FL,2012,12033,-0.01632710431739043,0.21603075800990412,1,1068.889691436103,-0.7999999999999972,-0.5,-0.010998093649930013,-0.012690372454173038,-0.012842365068833989,0.0040361128411181,-2.009763363414966e-5,-129613.9,124244.8,9.700000000000003,-23757.776272594798,-1.7999999999999972,0.40000000000000013,0.020000000000000018,1.8000000000000007,-224,-0.3411379551459959,0.0018552339096903347,5.066753499387202e-4,DEMOCRAT,REPUBLICAN,FALSE,0.391812904876702,-0.01236055962785762
FL,2016,12033,-0.014942852603780976,-0.3918156885981521,-2.6,-2961.1946573750974,-1.6000000000000014,-0.20000000000000284,0.044741047728435984,-0.006866079609071929,0.01083059852958801,8.413321463827013e-4,0.00103189859379821,-0.5000000000000001,9537,20.6,78918.5881242738,-3.1000000000000014,-0.20000000000000018,0.009999999999999787,-0.40000000000000213,12472,18.994074002624018,-0.02043405139636767,-3.3862984566689416e-5,DEMOCRAT,DEMOCRAT,TRUE,0.37687005227292103,-3.6370539980040695e-5
FL,2012,12057,-0.011111593463829506,0.21603075800990412,2.5,-8980.790608396703,-1.6999999999999886,-0.7000000000000028,0.00608122386584703,-0.043259808740201966,0.00741811039144602,0.0049216229840859035,0.00115016664360171,-572820,588525.6,5.199999999999996,-41278.853467571025,-1.2999999999999972,-0.09999999999999964,0.08000000000000007,0.29999999999999716,96962,95.03950793604008,0.006252253974777022,-0.0029374224210531683,DEMOCRAT,REPUBLICAN,FALSE,0.528437452730298,-0.0043907301845185764
FL,2016,12057,-0.013268293007378529,-0.3918156885981521,-3.1000000000000005,7818.009756097592,-0.10000000000000853,0.6000000000000014,0.02417540602774798,-0.019174845410849017,-7.402945734770183e-4,0.0053301694713438,2.5445637739891e-4,0.3999999999999999,82155,15,-123187.38530778201,0,-0.30000000000000027,0,1.6000000000000014,98492,96.53917220803987,-0.015841678603602083,0.0018187955818552998,DEMOCRAT,DEMOCRAT,TRUE,0.5151691597229194,0.0017178603841680462
