STCOFIPS10,state,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price
42021,PA,2018,0.465380072594,0.602054297924,0.4409992396832,0.8781787857425334,0.0095084165821283,"Cambria County, Pennsylvania",0.934107644424201,0.0331055947771958,0.0033705306308358,9.8686707659606e-4,56.3,0.8,58931,2.4,56467.2162485066,74.2,118485.463958582,62.9,2.9,2.21,0.213632567628995,45.9,131730,24.8,191.370167440482,3.4471642718446605
42021,PA,2022,0.526940405369,0.658716440201,0.3656214177608,0.8547560419516644,0.00696762425900592,"Cambria County, Pennsylvania",0.905874118425758,0.0280430002814951,0.00573641405649683,0.00184873821714686,52.8,0.7,55761,2,58994.2688759822,75.2,122920.396310215,43.9,1.6,21883,0.233289479268344,45.7,131441,24.6,190.950323985002,3.6459206212251942
42027,PA,2010,0.371307313442,0.448147833347,0.5154928565025,0.8008149367865814,0.02920655298484552,"Centre County, Pennsylvania",0.893016797835551,0.0272307901925036,0.0513861945019367,0.0029196701421555,58.8,1.7,73162,3.7,64523.6909674461,41.3,47668.1636863824,55.8,1.3,2.43,0.40855197206955,29.3,154127,19.1,138.86278105065,3.392507358636716
42027,PA,2012,0.5681899786,0.641306459904,0.5282763242722,0.7758386381517774,0.04564766468779057,"Centre County, Pennsylvania",0.888928988019669,0.0319002906470926,0.0507697959025849,0.00378936785868493,56.9,2.9,71742,3.3,69596.8227351916,39.5,47228.4211672474,59,1.4,2.44,0.39430146007935,29.3,155171,20.7,139.803386807051,3.6337821158690167
42027,PA,2014,0.310077637434,0.370327353477,0.5147846341133,0.8045539237176677,0.04814226216571679,"Centre County, Pennsylvania",0.877871010822593,0.0437376371722669,0.0568406596867874,0.00314346549747389,57.2,2.3,74442,2.6,68250.6189269117,40.2,45759.9493029151,58.2,1,2.47,0.400607061650006,30.5,158742,20,143.020726994895,3.5123751214771626
42027,PA,2016,0.608203291893,0.628760933876,0.4957481324673,0.7583090845991618,0.04191249099014923,"Centre County, Pennsylvania",0.880146658078581,0.0368441262448595,0.0542907397314572,7.1223306743298e-4,57.3,1,76548,2.7,78973.5708333333,64.2,294057.5,57.2,2.2,2.49,0.483264040589106,31.7,161464,19.7,145.473149283137,3.22530395274875
42029,PA,2010,0.491615980864,0.5455301404,0.4979447126389,0.8771170720691658,0.0264412220143235,"Chester County, Pennsylvania",0.872778348009292,0.0607326574589283,0.0389558160613209,0.00107643703343557,69.1,2.7,252993,4.3,121537.450710683,24.2,201171.850068776,70.5,1.9,2.64,0.497296351809017,39.3,499797,27.3,665.940067225156,3.392507358636716
42029,PA,2012,0.713670670986,0.764657199383,0.5151807069778,0.8605989559771684,0.02936166697481206,"Chester County, Pennsylvania",0.868457780190495,0.0582954152889503,0.0408547599072201,4.461333464936e-4,69.7,2.8,258256,5,112926.868466899,23.9,192443.591027875,69.9,2.1,2.67,0.489960646205845,40,506575,27.3,674.971217423441,3.6337821158690167
42029,PA,2014,0.421288222075,0.484927684069,0.5036492347717,0.8606569331859494,0.02976080815524441,"Chester County, Pennsylvania",0.85497012387282,0.0638163437236731,0.0456839526974321,9.0681456519704e-4,69.1,2.8,266680,3.5,113433.918462188,24.1,187779.220532319,69.2,1.4,2.68,0.492540587977183,40.6,512784,27.8,683.244220017296,3.5123751214771626
42029,PA,2016,0.740322172642,0.772718429565,0.4944963753223,0.8469485458952983,0.02970902707590829,"Chester County, Pennsylvania",0.852926137684191,0.0575640310509924,0.0495398131362432,9.8002758022281e-4,68.5,1.7,267484,3.2,121091.672916667,74.1,455631.875,70.2,2.1,2.68,0.511065511606409,40.3,516312,28.8,687.945001648979,3.22530395274875
42029,PA,2018,0.568291664124,0.66318321228,0.6026974320412,0.8605220138896508,0.02479145409795897,"Chester County, Pennsylvania",0.845505951582811,0.0598031591085843,0.0567880991330266,5.0187148258965e-4,69.1,2.7,277332,2.7,124145.461967344,74.6,460665.471923536,71.9,1.9,2.63,0.540073837562968,40.6,522046,28.7,695.585104221562,3.4471642718446605
42029,PA,2022,0.622053444386,0.678406000137,0.5919176340103,0.7240152849218005,0.01479421734379241,"Chester County, Pennsylvania",0.777814419692831,0.0538874323727655,0.0670455440683152,8.8123805702581e-4,67.9,1.8,291642,2.1,125963.320806286,76.6,488350.700375811,61.1,0.9,65457,0.566468755542262,40.8,545823,26.6,727.266080654819,3.6459206212251942
42033,PA,2012,0.50105458498,0.629294872284,0.4349382221699,0.9236036246030128,0.00378776842166603,"Clearfield County, Pennsylvania",0.951997930626724,0.0189815727236894,0.00464377217185652,0.00165057154119038,56.3,3.3,34971,4.5,57279.8192508711,22.4,34223.7913763066,65.7,2.9,2.36,0.13210927768203,43.5,81184,24.3,70.920240084684,3.6337821158690167
