STCOFIPS10,state,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price,d_turnout,d_partisan_index_dem,d_gas,d_unemp,d_income,d_age,d_edu,d_white,d_commute,d_pop,d_pop_density,d_black,d_asian,d_native,d_lfpr,d_manufacturing,d_edu_health,d_percent_car,d_percent_pt,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_gas_lag,d_gas_future
44007,RI,2016,0.56053763628,0.578152179718,0.6445900797844,0.8800970922409678,0.03286712586266189,"Providence County, Rhode Island",0.726521407729223,0.0928018078725147,0.0421558122249173,0.00732712297983345,63.4,0.4,307505,4,68625.2104166667,51.8,287636.458333333,59.2,2,2.58,0.294461796544821,37.5,633673,24.5,1547.37544600531,3.1772930486142665,0.17534798383699995,-0.031344771385199977,-0.38276137315444103,-1.5,5537.865676489295,0.5,0.04255499548401204,-0.012792234920632972,0.5,1699,4.148813161930093,-0.0055202749979831045,-1.37066912515596e-4,0.00147561643051338,-0.8999999999999986,0,5832,0.017159203257624656,-0.007414734497652328,3.299999999999997,124893.66999366303,-3.3999999999999986,-0.8999999999999999,0.040000000000000036,-0.12957719032197224,0.22590229119155847
44007,RI,2018,0.39100420475,0.456494987011,0.5856876373291,0.8917080826575987,0.02436241171854564,"Providence County, Rhode Island",0.735300683557518,0.0991582872702347,0.0417193326667547,0.00333918161752221,63.4,0.4,312002,3.7,70716.7841497411,54.6,304229.589804859,58.5,2.5,2.58,0.286040583629503,37.4,636084,24.7,1553.26290246995,3.403195339805825,-0.16953343153,-0.058902442455299964,0.22590229119155847,-0.2999999999999998,2091.5737330744014,-0.10000000000000142,-0.008421212915318,0.008779275828294963,0.1999999999999993,2411,5.887456464639854,0.006356479397719994,-4.36479558162603e-4,-0.00398794136231124,0,0,4497,0.01161099041663094,-0.00850471414411625,2.8000000000000043,16593.131471525994,-0.7000000000000028,0.5,0,-0.38276137315444103,0.23729818909840317
44007,RI,2022,0.341775715351,0.383962422609,0.598521232605,0.7949208174902035,0.0183387732752529,"Providence County, Rhode Island",0.597211572400531,0.0799725538880978,0.0430359294555811,0.00574481810104551,65.2,0.7,334738,3.1,80900.7464981209,55.5,387457.123334472,38.7,1.8,83145,0.342487517022242,37.8,657288,25.3,1605.04126284999,3.640493528904228,-0.049228489398999986,0.0128335952759,0.23729818909840317,-0.6000000000000001,10183.962348379806,0.3999999999999986,0.056446933392738985,-0.13808911115698697,0.6000000000000014,21204,51.77836038004011,-0.019185733382136888,0.0013165967888264032,0.0024056364835233,1.8000000000000043,0.29999999999999993,22736,-0.09678726516739522,-0.006023638443292741,0.8999999999999986,83227.53352961299,-19.799999999999997,-0.7,83142.42,0.22590229119155847,NA
45013,SC,2014,0.358551084995,0.440768063068,0.3704909980297,0.8984293466917136,0.00301346274264245,"Beaufort County, South Carolina",0.756420171507859,0.182312399062848,0.0141368878374997,5.8571980984009e-4,57.3,1.4,71522,3.4,73072.4207858048,31.2,60480.4626108999,65,1.4,2.57,0.372711263358502,43.7,175852,21.6,305.157853451305,3.1847327502429543,-0.08253768086500002,-0.003576308488900004,0.06994034125767179,-1.9,-9063.846981274502,2.8000000000000043,0.008153018826564995,0.02993556211704096,1.6000000000000014,12863,22.321301258695996,-0.011485955427332023,0.00421597292913165,-0.0024206180411805297,-2.1000000000000014,0.19999999999999996,9652,0.041497850074508014,6.433519938310998e-4,0.3999999999999986,-3766.3645326123005,-8.299999999999997,-0.8000000000000003,0.17999999999999972,NA,-0.18312032305848858
45013,SC,2018,0.461211770773,0.509073376656,NA,0.8682152686008026,0.01030515378926566,"Beaufort County, South Carolina",0.739268208674456,0.175417958296903,0.0116259968735925,0.0036139151630766,54.6,1,77192,1.5,82172.0489844683,74.8,391027.080844285,70.3,1.8,2.45,0.428511260861855,45.5,188715,22.4,327.47915471,3.0016124271844657,0.10266068577800003,NA,-0.18312032305848858,-1.9,9099.6281986635,1.7999999999999972,0.05579999750335296,-0.017151962833403034,0.7999999999999972,12863,22.321301258694973,-0.0068944407659450035,-0.0025108909639072006,0.00302819535323651,-2.6999999999999957,-0.3999999999999999,5670,-0.030214078090911034,0.007291691046623211,43.599999999999994,330546.61823338515,5.299999999999997,0.40000000000000013,-0.11999999999999966,0.06994034125767179,NA
45015,SC,2012,0.543058514595,0.675331830978,0.3688566684723,0.9214781698849044,0.00527917816037287,"Berkeley County, South Carolina",0.673365616157571,0.249930182684252,0.0227420026240772,0.00763511626559034,65.3,0.3,80650,8,67803.7891986063,31.2,62069.9172473868,70.6,2.3,2.83,0.228598904681184,35.2,189781,25.1,172.697342278346,3.290367128463476,0.20302057266199997,-0.0012240111828000222,0.17557471947819359,0.40000000000000036,-3469.899476313498,0.9000000000000057,0.027509532595253988,0.004554823185084933,-1.5999999999999979,10998,10.007984837140015,-0.0037013147176260253,0.0022870376665589005,9.398488184616995e-4,-0.7999999999999972,0.19999999999999998,4866,0.02810419823260979,2.2416775299850984e-4,2.099999999999998,-1889.9520786103967,0.09999999999999432,1.4999999999999998,0.050000000000000266,NA,-0.2887547012790104
45015,SC,2018,0.380280941725,0.485056340694,NA,0.899408841914711,0.00733526300406362,"Berkeley County, South Carolina",0.663342243691512,0.239362977235618,0.0206566526905211,0.00496628085268057,64.9,0.3,102252,2.8,78899.2951015532,74.3,245362.604540024,70.4,1.8,2.78,0.247282388253427,36.2,221091,28,201.188886672859,3.0016124271844657,-0.16277757287,NA,-0.2887547012790104,-5.2,11095.505902946898,1,0.018683483572243004,-0.010023372466059,2.8999999999999986,31310,28.491544394513,-0.010567205448633987,-0.0020853499335561007,-0.0026688354129097694,-0.3999999999999915,0,21602,-0.022069327970193342,0.0020560848436907498,43.099999999999994,183292.68729263722,-0.19999999999998863,-0.4999999999999998,-0.050000000000000266,0.17557471947819359,NA
45019,SC,2012,0.607789754868,0.667768418789,0.4382390677929,0.8848940945913613,0.01635010881082867,"Charleston County, South Carolina",0.668793576549586,0.286377005274371,0.0130270948236673,0.00193338846867965,66.5,0.8,175943,6.4,66561.4046167247,40.7,116700.594512195,59.4,2.1,2.46,0.384912430310295,36,365162,22.4,398.579885225761,3.290367128463476,0.219685316086,-0.0042777955532000145,0.17557471947819359,-0.6999999999999993,-237.76090367880533,0.29999999999999716,-0.01822291552243499,0.015448597290335098,-0.5,13680,14.931928376688006,-0.010147425564193013,0.005652606229656801,0.00163180830241225,0.4000000000000057,0.10000000000000009,9050,0.0097119556479478,-0.0063073736376004184,1.5,-6658.101040303998,0.7999999999999972,1,0.040000000000000036,NA,-0.1056343782205218
45019,SC,2014,0.336854219437,0.399699836969,0.4431457519531,0.8518592996734914,0.02525811111875493,"Charleston County, South Carolina",0.675012794771859,0.282414078185898,0.0153091085652796,7.689985958558e-4,65.8,0.4,190180,4.1,70829.5986480777,41.6,118896.147021546,61.9,1.7,2.41,0.407527153512131,37,381015,24,415.883676202051,3.1847327502429543,-0.270935535431,0.004906684160200014,-0.1056343782205218,-2.3000000000000007,4268.194031353007,1,0.022614723201835996,0.006219218222273004,1.6000000000000014,15853,17.303790976289974,-0.003962927088473012,0.0022820137416122988,-0.0011643898728238501,-0.7000000000000028,-0.4,14237,-0.03303479491786987,0.008908002307926259,0.8999999999999986,2195.552509350993,2.5,-0.40000000000000013,-0.04999999999999982,0.17557471947819359,-0.28521707554963305
45019,SC,2016,0.597740650177,0.637384653091,0.4238069355488,0.8611533925385321,0.01090692821789663,"Charleston County, South Carolina",0.683775385639774,0.27539320628323,0.015135541408985,0.001578878340614,64.3,0.1,197621,2.6,74467.0479166667,61.1,374779.166666667,54.9,0.7,2.45,0.416240641064839,37.1,396484,23.9,432.768325329171,2.8995156746933213,0.26088643073999995,-0.01933881640430002,-0.28521707554963305,-1.4999999999999996,3637.449268589,0.10000000000000142,0.00871348755270801,0.008762590867914977,-0.10000000000000142,15469,16.884649127119985,-0.00702087190266798,-1.735671562946e-4,8.098797447582e-4,-1.5,-0.30000000000000004,7441,0.009294092865040682,-0.0143511829008583,19.5,255883.01964512098,-7,-1,0.040000000000000036,-0.1056343782205218,0.10209675249114447
