STCOFIPS10,state,YEAR,VOTER_TURNOUT_PCT,REG_VOTER_TURNOUT_PCT,PARTISAN_INDEX_DEM,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,gas_price,d_turnout,d_partisan_index_dem,d_gas,d_unemp,d_income,d_age,d_edu,d_white,d_commute,d_pop,d_pop_density,d_black,d_asian,d_native,d_lfpr,d_manufacturing,d_edu_health,d_percent_car,d_percent_pt,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_gas_lag,d_gas_future,d_gas_lead,d_percent_pt_lead
06073,CA,2016,0.609944283962,0.456024467945,0.5355912446976,0.8459801115571598,0.02887592613931876,"San Diego County, California",0.719002552634331,0.0499971516832648,0.11735939035774,0.0075292012747197,65.5,1,1573399,3.9,92808.95,52.1,691375.833333333,67.2,2.1,2.91,0.373681861120852,35.7,3317749,26,788.688567352072,3.774,0.29382634162899995,0.018074989318899948,0.10758406219630734,-0.6999999999999997,4860.559632446093,0.4000000000000057,0.0027772666898059906,0.009920914321770002,1,54318,12.91236485985803,4.777961338446046e-4,0.0015285362658350038,0.0026417071006434,0.7000000000000028,0,72405,-0.001010174935713426,0.0017307199373595115,4.300000000000004,-71719.15399239596,-0.3999999999999915,-0.2999999999999998,0.03000000000000025,-0.16462184557162152,0.3429576699029129,0.3429576699029129,-0.002420835520173841
06075,CA,2012,0.60999673605,0.720999181271,0.8659220933914,0.4400514160617171,0.33108016130004086,"San Francisco County, California",0.496211841431327,0.0561909178641009,0.3321858468051,0.0031966561039785,68.2,0.1,457285,5.3,100009.904181185,64,170864.179006969,44.3,0.7,2.32,0.535962632359236,38.5,825863,31.6,17611.9544118728,3.831037783375314,0.12971463799500005,0.0024052262306000216,0.21197349212821814,-0.9000000000000004,-3446.3200278930017,0,0.027419221769084068,-0.018428806245847973,1.3000000000000007,20400,435.04052125129965,-0.005076949188761899,-0.0018456357086840125,-0.0017508088944137305,-1,-0.19999999999999998,10620,4.6748315870348556e-4,-0.00942288337189745,0.6000000000000014,-6686.2840833569935,-0.20000000000000284,-0.40000000000000013,-0.050000000000000266,NA,-0.16462184557162152,-0.16462184557162152,0.008805534452739294
06075,CA,2014,0.361160546541,0.530959427357,0.8524175882339,0.41309197354661253,0.33988569575278016,"San Francisco County, California",0.473460031977702,0.0539444836117208,0.339777751449026,0.00279423650596092,70.3,0.3,493105,4.3,113031.326573722,62.4,176498.675538657,46,1,2.35,0.542332444306857,38.6,852469,31.7,18179.3410838539,3.6664159378036927,-0.24883618950900005,-0.013504505157500013,-0.16462184557162152,-1,13021.422392537002,0.10000000000000142,0.006369811947620985,-0.022751809453625038,0.09999999999999787,26606,567.3866719810976,-0.0022464342523801015,0.007591904643926006,-4.024195980175797e-4,2.0999999999999943,0.19999999999999998,35820,-0.02695944251510457,0.008805534452739294,-1.6000000000000014,5634.496531687997,1.7000000000000028,0.30000000000000004,0.03000000000000025,0.21197349212821814,0.10758406219630734,0.10758406219630734,0.0031085756206715165
06075,CA,2016,0.64643239975,0.586214363575,0.8661397099495,0.403219779846504,0.3429942713734517,"San Francisco County, California",0.464365641007387,0.0499123307616258,0.344946014810188,0.00350676953496837,70.2,0.3,511365,3.2,136022.560416667,37.9,1341866.66666667,48.5,1,2.37,0.572444961258293,38,870887,33.5,18572.1144328935,3.774,0.285271853209,0.013722121715599944,0.10758406219630734,-1.0999999999999996,22991.23384294499,-0.6000000000000014,0.03011251695143602,-0.009094390970315003,1.8000000000000007,18418,392.7733490396022,-0.0040321528500949985,0.0051682633611619955,7.125330290074497e-4,-0.09999999999999432,0,18260,-0.009872193700108556,0.0031085756206715165,-24.5,1165367.991128013,2.5,0,0.020000000000000018,-0.16462184557162152,0.3429576699029129,0.3429576699029129,-0.0077876364938346265
06077,CA,2012,0.507481336594,0.703553557396,0.5451044440269,0.9191671508812704,0.01433662599263993,"San Joaquin County, California",0.562680398285256,0.0713096275042271,0.1431273590545,0.00734117834594342,61.4,5.1,269943,9.8,69477.6524390244,43.5,166837.044860627,75.3,3.7,3.19,0.188534408939259,33,702612,29.7,504.976568616971,3.831037783375314,0.11050438880999996,0.01563537120809999,0.21197349212821814,-1.0999999999999996,-2638.1637003611977,0.29999999999999716,0.01120345573586698,-0.05081532105217201,1.1999999999999993,14868,10.685828910119994,0.0011468925330751084,0.0010308812953339908,-0.00725291480499648,-1.3999999999999986,0.2999999999999998,5085,0.01058419323887605,0.005058069897062591,1.2000000000000028,-12322.689206315,0.5,-0.19999999999999973,0.08999999999999986,NA,-0.16462184557162152,-0.16462184557162152,-3.888544297057407e-4
06077,CA,2014,0.283407390118,0.421316295862,0.5342997908592,0.9182763903238448,0.01394777156293419,"San Joaquin County, California",0.551916791154798,0.0728762138466204,0.153611599825041,0.00674541676390482,60.5,5.5,289829,6.7,68638.5952682721,46.5,157708.396704689,72.8,4.1,3.16,0.183222130932926,33.7,715597,30.8,514.309060438192,3.6664159378036927,-0.22407394647599999,-0.010804653167699962,-0.16462184557162152,-3.1000000000000005,-839.057170752305,0.7000000000000028,-0.005312278006332993,-0.010763607130457986,1.1000000000000014,12985,9.33249182122097,0.001566586342393289,0.010484240770540998,-5.957615820385998e-4,-0.8999999999999986,0.40000000000000036,19886,-8.907605574256516e-4,-3.888544297057407e-4,3,-9128.648155938019,-2.5,0.39999999999999947,-0.029999999999999805,0.21197349212821814,0.10758406219630734,0.10758406219630734,9.128589932167405e-4
06077,CA,2016,0.521238029003,0.571978807449,0.5417053103447,0.9117786147088944,0.01486063055615093,"San Joaquin County, California",0.569642733018131,0.0710445149234915,0.152031663779509,0.00739802837364677,60.4,4.1,305708,5.3,77993.3791666667,54.1,414091.666666667,73.2,3.8,3.17,0.167261231411257,34.3,733709,33.3,527.326395198757,3.774,0.237830638885,0.007405519485500056,0.10758406219630734,-1.4000000000000004,9354.783898394599,0.5999999999999943,-0.015960899521668986,0.017725941863332983,2.4999999999999964,18112,13.017334760565063,-0.0018316989231288994,-0.0015799360455319988,6.526116097419496e-4,-0.10000000000000142,-1.4000000000000004,15879,-0.006497775614950352,9.128589932167405e-4,7.600000000000001,256383.269961978,0.4000000000000057,-0.2999999999999998,0.009999999999999787,-0.16462184557162152,0.3429576699029129,0.3429576699029129,0.00100210307948018
06079,CA,2012,0.632113456726,0.810739815235,0.5040304660797,0.8429119677881062,0.02225577627833089,"San Luis Obispo County, California",0.833954382032285,0.0178090566367302,0.0401195033551186,0.0090791982649452,60.8,3.5,127708,4.1,82548.031358885,44.9,76851.1432926829,63.9,1.9,2.53,0.335499584832549,39.2,274804,22.1,83.3061756985064,3.831037783375314,0.08845865726499991,0.007206082344000053,0.21197349212821814,-2.9000000000000004,4711.804857280193,-0.19999999999999574,0.027280179286525985,0.009669730793729014,1.1000000000000014,4691,1.4220654364626881,-0.006810269349060899,0.008269870053500404,5.864563384181502e-4,1.7999999999999972,-0.5999999999999996,10759,-0.041950862996064764,0.015431997968755062,5,-9469.805813231796,-2.1000000000000014,-0.20000000000000018,-0.03000000000000025,NA,-0.16462184557162152,-0.16462184557162152,-0.011931973232201711
06079,CA,2014,0.413849085569,0.591877758503,0.4959053695202,0.8632885563679646,0.01032380304612918,"San Luis Obispo County, California",0.872672287455703,0.0199868856218401,0.040794315669532,0.00425679815682073,56.9,3,123934,3.2,84337.0215462611,40.4,81318.2467258133,62.7,2.5,2.56,0.338585422727818,38.8,279083,22.2,84.6033443198288,3.6664159378036927,-0.21826437115699993,-0.008125096559500056,-0.16462184557162152,-0.8999999999999995,1788.9901873760973,-0.4000000000000057,0.0030858378952690058,0.03871790542341802,0.09999999999999787,4279,1.2971686213224132,0.0021778289851098996,6.74812314413395e-4,-0.00482240010812447,-3.8999999999999986,-0.5,-3774,0.020376588579858468,-0.011931973232201711,-4.5,4467.103433130396,-1.1999999999999957,0.6000000000000001,0.03000000000000025,0.21197349212821814,0.10758406219630734,0.10758406219630734,-5.256788367532204e-4
06079,CA,2016,0.662653505802,0.747627615929,0.5015168786049,0.8525191433939385,0.00979812420937596,"San Luis Obispo County, California",0.843771541286804,0.0182652437192236,0.0388458995994867,0.00799612566148321,60.2,2.8,136011,2.3,92468.2416666667,62.6,717060,63.5,2.2,2.51,0.361780132450331,38.8,282887,23.1,85.7565178266087,3.774,0.24880442023299998,0.005611509084700039,0.10758406219630734,-0.9000000000000004,8131.220120405604,0,0.02319470972251303,-0.02890074616889904,0.9000000000000021,3804,1.1531735067798934,-0.0017216419026164984,-0.0019484160700452974,0.00373932750466248,3.3000000000000043,-0.20000000000000018,12077,-0.010769412974026116,-5.256788367532204e-4,22.200000000000003,635741.7532741867,0.7999999999999972,-0.2999999999999998,-0.050000000000000266,-0.16462184557162152,0.3429576699029129,0.3429576699029129,-0.0029934207731582493
