state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_lag,d_percent_pt_lag
TX,2016,48113,0.0363724974777484,-0.5501078468454339,-2.6000000000000005,6493.699020034794,0.5,0.5,0.022765880547085005,0.027974513938435086,0.0032118762559739944,0.007676542730125996,-0.00122667871891675,-0.20000000000000007,126479,0.5999999999999943,-403111.105545877,-0.6000000000000085,-0.20000000000000018,-0.06000000000000005,1.2000000000000028,121141,138.80982478752003,0.0018112635039415625,-0.0017541633529718909,DEMOCRAT,DEMOCRAT,TRUE,0.6075051418166391,0.10649345532230758,0.24125759164837302,-0.003530975668427961
TX,2016,48121,0.03776701952941325,-0.5501078468454339,-1.9999999999999996,8310.100892857095,-0.20000000000000284,1.3999999999999986,0.04930859453988301,-0.03775745069534708,0.006737802428161299,0.009687824491401598,5.773910363935401e-4,-0.4,70713,26.6,113591.208623693,-0.6999999999999886,0.2999999999999998,0.03000000000000025,1.6000000000000014,98876,112.54513757621498,-0.012802289298433966,-0.00393583666191151,DEMOCRAT,DEMOCRAT,TRUE,0.37131041872457266,0.11556838083949389,0.24125759164837302,0.00831367235643841
TX,2016,48139,-0.03766971171058642,-0.3088502551970609,-1.4,-3783.0262327758974,-5.799999999999997,3.3999999999999986,0.007952380473505993,0.03475310157056599,0.004135799293523798,0.0011096313047198403,-0.0042452736373827,-76640.7,82283.2,49.8,166262.90340997028,-3,-0.09999999999999987,-0.08999999999999986,3.1000000000000014,20313,21.70992287562501,-0.008845119926748413,-0.004295165205818851,DEMOCRAT,REPUBLICAN,FALSE,0.2552573304226281,-0.028198595692335793,NA,NA
TX,2016,48141,0.035700901456471756,-0.5501078468454339,-2.6,-9.793880662000447,0.7999999999999972,1,0.011036329066361011,-0.02240685916361307,0.0015287990763568973,0.0023526191951438007,1.253394218294901e-4,-0.30000000000000004,30748,20.9,-60746.716027874994,-4,0.20000000000000018,-0.040000000000000036,0.1999999999999993,10520,10.386820581709003,0.015941526995585265,-5.053584349651516e-4,DEMOCRAT,DEMOCRAT,TRUE,0.6908293147919704,0.1077821765250811,0.24125759164837302,-5.582714289258106e-4
TX,2016,48157,0.05312343269977099,-0.5501078468454339,0.3999999999999999,677.3986643429962,-0.7000000000000028,0.3999999999999986,0.026216455193492028,0.0012864428583240217,-0.002702617344837982,0.022419047017535,0.00195921078041768,-0.7999999999999998,50149,54.400000000000006,126552.46225319401,-2.0999999999999943,0.10000000000000009,0.040000000000000036,2.1000000000000014,113944,132.24199199955694,-0.005271409091552104,-0.0011294518846575903,DEMOCRAT,DEMOCRAT,TRUE,0.5139392366808361,0.13463495498256628,0.24125759164837302,0.0010408934983251704
TX,2016,48167,-0.0037131657398483675,-0.5501078468454339,-0.39999999999999947,2155.991557781701,0.09999999999999432,-0.3999999999999986,0.010393200503793998,0.0032000810018070203,-0.004719724377444001,0.002924295051503302,0.00510644517234916,0.5,15689,31.6,138850.74549942,2.700000000000003,1.4,0.009999999999999787,2.6999999999999993,28947,76.37182178422302,0.012475626086311364,-0.009942392202393981,DEMOCRAT,DEMOCRAT,TRUE,0.35522322481957314,0.0235273921272858,0.24125759164837302,0.01065057932156473
TX,2016,48181,-0.09809887629868869,-0.3088502551970609,0.10000000000000009,1243.9128686715994,-1.3000000000000043,2.5,0.03689738000952,0.03020284234279702,-0.016670157220661605,0.005258303115768,-1.719839892099003e-4,-55989.4,59005.2,40.39999999999999,116636.45649481381,-3.5,1,0.10000000000000009,1.5,9431,10.110220855544995,-0.0138942557877616,-0.0053404931653930334,DEMOCRAT,REPUBLICAN,FALSE,0.2172473426691412,-0.14874957288224627,NA,NA
TX,2016,48201,0.045620968721377164,-0.5501078468454339,-1.6999999999999993,3623.046392276505,-0.9000000000000057,0.7999999999999972,0.024396595285328004,-0.00889101522981306,0.0017641302423120064,0.005480041619571607,-0.00120009419130471,-0.10000000000000009,202246,9.300000000000004,-881014.1281939631,-0.10000000000000853,0,-0.08999999999999986,1.4000000000000021,336228,197.29853413849014,0.0027251287923447665,-0.00697293542886494,DEMOCRAT,DEMOCRAT,TRUE,0.5395225407587158,0.12261688493508148,0.24125759164837302,-0.002001863119524428
TX,2016,48215,-0.018980806213179546,-0.5501078468454339,-2.7,1160.709552845503,-1.1000000000000014,0.5999999999999979,0.01924322935811898,-0.07898711663688107,-0.00327672198652952,4.8727324062900097e-4,-0.0035465609339988802,-0.2999999999999998,28091,33.5,-93650.04573170701,0.20000000000000284,0.8999999999999999,0.009999999999999787,-0.1999999999999993,43291,27.558180678016925,-0.013919152273188518,0.0011649119737925004,DEMOCRAT,DEMOCRAT,TRUE,0.6850268397170154,-0.012969121673341633,0.24125759164837302,-0.0015794582534557505
TX,2016,48245,-0.019590313532360237,-0.5501078468454339,-3.7,3599.901785714297,-1.1000000000000014,-0.20000000000000284,-0.0015669278081359983,0.0030898151055790413,0.009294730495301995,0.0021400940929780024,-5.686074963313702e-4,-0.10000000000000009,5779,24.9,59081.071428571406,1,0.20000000000000018,-0.040000000000000036,0.8000000000000007,2866,3.270583534159016,0.016701576041181943,0.003685729388845679,DEMOCRAT,DEMOCRAT,TRUE,0.4844095962016937,-0.02087202727720105,0.24125759164837302,-2.0662561046091987e-4
