state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean
FL,2012,12033,-0.01632710431739043,-0.014359046605776804,1,1068.889691436103,-0.7999999999999972,-0.5,-0.010998093649930013,-0.012690372454173038,-0.012842365068833989,0.0040361128411181,-2.009763363414966e-5,-129613.9,124244.8,9.700000000000003,-23757.776272594798,-1.7999999999999972,0.40000000000000013,0.020000000000000018,1.8000000000000007,-224,-0.3411379551459959,0.0018552339096903347,5.066753499387202e-4,DEMOCRAT,REPUBLICAN,FALSE,0.391812904876702,-0.01236055962785762
FL,2016,12033,-0.014942852603780976,-2.207241380339399,-2.6,-2961.1946573750974,-1.6000000000000014,-0.20000000000000284,0.044741047728435984,-0.006866079609071929,0.01083059852958801,8.413321463827013e-4,0.00103189859379821,-0.5000000000000001,9537,20.6,78918.5881242738,-3.1000000000000014,-0.20000000000000018,0.009999999999999787,-0.40000000000000213,12472,18.994074002624018,-0.02043405139636767,-3.3862984566689416e-5,DEMOCRAT,DEMOCRAT,TRUE,0.37687005227292103,-3.6370539980040695e-5
FL,2012,12057,-0.011111593463829506,-0.014359046605776804,2.5,-8980.790608396703,-1.6999999999999886,-0.7000000000000028,0.00608122386584703,-0.043259808740201966,0.00741811039144602,0.0049216229840859035,0.00115016664360171,-572820,588525.6,5.199999999999996,-41278.853467571025,-1.2999999999999972,-0.09999999999999964,0.08000000000000007,0.29999999999999716,96962,95.03950793604008,0.006252253974777022,-0.0029374224210531683,DEMOCRAT,REPUBLICAN,FALSE,0.528437452730298,-0.0043907301845185764
FL,2016,12057,-0.013268293007378529,-2.207241380339399,-3.1000000000000005,7818.009756097592,-0.10000000000000853,0.6000000000000014,0.02417540602774798,-0.019174845410849017,-7.402945734770183e-4,0.0053301694713438,2.5445637739891e-4,0.3999999999999999,82155,15,-123187.38530778201,0,-0.30000000000000027,0,1.6000000000000014,98492,96.53917220803987,-0.015841678603602083,0.0018187955818552998,DEMOCRAT,DEMOCRAT,TRUE,0.5151691597229194,0.0017178603841680462
FL,2016,12069,-0.06780391182166456,-2.2216004269451757,-1,53.912720622407505,-0.5,1.7000000000000028,0.03037894962347601,-0.004527239592027943,0.018105937904068087,0.002877507018922403,0.00201744394133429,-123303.8,136067.6,53.8,73405.48807865,-1.4000000000000057,0.6000000000000001,0.040000000000000036,-0.5,28153,29.983571894768033,-0.007872096086099734,0.00190953381799292,DEMOCRAT,REPUBLICAN,FALSE,0.36863347842921,-0.09571398905160769
FL,2012,12071,-0.03796802319867493,-0.014359046605776804,1.7999999999999998,-10738.4250745658,-3.3999999999999986,3.5,-0.018539530948936983,-0.002948278719500985,0.0067642380848682016,0.0037969214751926994,-0.0012349764637244998,-253273.1,252616,6.899999999999999,-38702.111614779016,0.10000000000000853,0.6000000000000001,0.20999999999999996,2.1999999999999993,52157,66.49420882657796,-0.033022053878301594,0.005842687858397529,DEMOCRAT,REPUBLICAN,FALSE,0.41386578300759674,-0.06169575215767338
FL,2016,12071,-0.031205406805158153,-2.207241380339399,-3.5,5942.456496806095,-0.7999999999999972,1.7000000000000028,0.04058159317556201,0.004658766754601973,0.0013185485873912078,-0.00211254660641,-8.111057787816003e-4,-0.09999999999999998,49242,38.300000000000004,47669.488240417995,-1.2000000000000028,-0.3999999999999999,0.1200000000000001,-0.5999999999999979,77043,98.22101214843701,0.008749244330032435,-0.00860509645715008,DEMOCRAT,DEMOCRAT,TRUE,0.3826603762024386,-0.038830435290778814
FL,2012,12073,-0.01255509179964831,-0.014359046605776804,2.5999999999999996,-5038.9730570018,-3.299999999999997,-0.8000000000000007,0.04490115436015202,-0.011085575156490002,0.002885622642517016,0.007282322233906097,-6.295830019344903e-4,-140973.7,141449.4,3.799999999999997,-11077.064517584193,-0.7000000000000028,-1.2000000000000002,0.16000000000000014,0.3999999999999986,19706,29.550224604077016,-0.0036142463332452524,0.005770337281495902,DEMOCRAT,REPUBLICAN,FALSE,0.6125996777955283,-0.006094616727586211
FL,2016,12073,-0.007414706849244723,-2.207241380339399,-3.3,3355.073032810702,-3.1000000000000085,0.6000000000000014,0.02518473044085301,-0.006015336050055997,-0.001547624489436017,0.0036308590165296042,-5.368328603995798e-4,0,2078,5.799999999999997,178331.271051103,0.5,0.9,-0.040000000000000036,0.10000000000000142,4053,6.077695134493979,-7.064022948327642e-4,-0.0068529001273195615,DEMOCRAT,DEMOCRAT,TRUE,0.6051849709462835,0.014970605125326775
FL,2012,12081,-0.03565012267296813,-0.014359046605776804,0.6000000000000005,-2319.363126324002,-2.0999999999999943,3.200000000000003,0.01271183854911101,0.016430583479334016,0.0028340353551889047,0.003134822088697498,0.0037895912872859105,-135820.1,138274.7,2.8000000000000007,-14648.141700423017,0.19999999999999574,-0.2999999999999998,0.14000000000000012,1.3000000000000007,18129,24.39892056789199,-0.004685952168399732,0.0020765776093583004,DEMOCRAT,REPUBLICAN,FALSE,0.4332697031096286,-0.05428163838243816
