year,county_fips,state,dem_vote_pct,rep_vote_pct,incumbent_party,incumbent_vote_pct,partisan_lean,percent_car,percent_pt,NAME,percent_white,percent_black,percent_asian,percent_native,labor_force_participation,percent_manufacturing,percent_edu_health_services,percent_unemployment,median_income_adj2024,percent_homeowner,median_home_value_adj2024,percent_family_households,percent_married,avg_household_size,percent_upper_edu,median_age,total_population,mean_commute_time,pop_density_sq_mile,cpi_adjustment,gas_price
2012,39061,OH,0.5250182623766394,0.4615153236857057,DEMOCRAT,0.5250182623766394,0.06350293869093371,0.8878204105933509,0.03412219989581008,"Hamilton County, Ohio",0.690877489595256,0.25808004109531,0.0213718053259322,0.00222807398153205,66.6,0.3,383380,6.2,64156.0823170732,41.8,261741.803135888,58.6,2.3,2.39,0.334449114380066,37.3,802038,22.6,1975.89684751963,1.369773519163763,5.025394647696476
2016,39061,OH,0.5272897931847014,0.4244956723024915,DEMOCRAT,0.5272897931847014,0.10279412088220985,0.8712765472494188,0.03702306122138874,"Hamilton County, Ohio",0.670966099327771,0.258277417225828,0.0264467018251166,9.8875415740224e-4,66.9,0.1,401343,4.4,69752.16875,56.8,196693.541666667,57.6,2,2.36,0.368979977859075,37,809099,23.3,1993.29229217479,1.3104166666666666,2.781286574074074
2024,39061,OH,0.5690527573551825,0.4203153004864845,DEMOCRAT,0.5690527573551825,0.14873745686869794,0.7993822871190811,0.01995466591269594,"Hamilton County, Ohio",0.624748763672451,0.247927113699142,0.0271890551125622,0.00105928281656971,66.1,0.2,422894,2.8,72728,59.4,270900,38.8,1.1,104141,0.426045678238769,36.9,837359,22.9,2062.91348831625,1,3.041777777777778
2008,39085,OH,0.4957761569209214,0.4874273705031525,REPUBLICAN,0.4874273705031525,0.008348786417768927,0.925887542076376,0.0174109141559023,"Lake County, Ohio",0.941422039909413,0.023684997649874,0.0123146605136094,0.0022091184890826,68.9,122752,3.4,3.9,85506.6047375755,22,104836.74175569,65.6,1.8,2.51,0.240068028043215,41.2,234030,22.7,1026.27458582377,1.4607524384579655,4.847588119936006
2012,39085,OH,0.4871457045370089,0.49613188743623526,DEMOCRAT,0.4871457045370089,-0.00898618289922637,0.9428535823326776,0.00771743677843746,"Lake County, Ohio",0.928731346534136,0.0382434162957026,0.013093360977777,8.9728288803129e-4,66,0.5,114412,4.7,75300.5596689895,27.7,94204.8040069686,65.3,2.3,2.38,0.260042270383854,43.2,229582,22.8,1006.76909781905,1.369773519163763,5.025394647696476
2008,39093,OH,0.5806658087008627,0.4022089214825104,REPUBLICAN,0.4022089214825104,0.1784568872183523,0.9269504386178834,0.01014499822323176,"Lorain County, Ohio",0.848958350445013,0.0786994904278632,0.0078587785381752,0.00397538546454515,65.5,145873,3.6,4.6,77177.3943334881,26.2,121017.496516489,69.3,1.8,2.61,0.199981386600312,38.4,304373,23.9,619.749816667636,1.4607524384579655,4.847588119936006
2012,39093,OH,0.5686722093080075,0.4146859053562578,DEMOCRAT,0.5686722093080075,0.15398630395174973,0.9287240595271592,0.00702645567021284,"Lorain County, Ohio",0.85994666277473,0.0853063905160576,0.00898241331042398,0.00165186182739702,62.6,0.6,134873,6.5,67298.3427700348,27.6,114688.397212544,66.5,2,2.51,0.222256771529212,41,301478,24,613.855155448497,1.369773519163763,5.025394647696476
2016,39093,OH,0.4762951580085656,0.4753631849290704,DEMOCRAT,0.4762951580085656,9.319730794951631e-4,0.914266717737098,0.00737148679997976,"Lorain County, Ohio",0.850671584547843,0.0874871476833189,0.0089272599676856,0.00188663848677231,61.7,1,140696,4.5,71422.95,71.5,191845,68.3,2.7,2.52,0.245486195449761,41.3,306365,24.8,623.80583226298,1.3104166666666666,2.781286574074074
2024,39093,OH,0.4666901457168552,0.52385744023848,DEMOCRAT,0.4666901457168552,-0.057167294521624834,0.8557935493963966,0.00187077933929549,"Lorain County, Ohio",0.77043132627395,0.0765518740490016,0.01781821569419,0.00218302642610937,61.8,0.7,155693,2.3,78911,75.9,244200,47.7,0.7,47429,0.284827749767229,42.2,322030,25.6,655.702159723361,1,3.041777777777778
2008,39095,OH,0.649829413637811,0.33528635763999454,REPUBLICAN,0.33528635763999454,0.31454305599781646,0.925033166751454,0.02024418709040308,"Lucas County, Ohio",0.77089879579345,0.17937546542674,0.0161446319269121,8.1052363913762e-4,65.9,204068,2.9,6.4,59876.242452392,34.7,172415.531816071,60.4,2.6,2.39,0.221123675953419,37,440456,19.3,1292.19435288755,1.4607524384579655,4.847588119936006
