state,year,county_fips,d_inc_vote,d_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_future,d_percent_pt_future
PA,2012,42129,-0.045583555806567255,0.38621673001173606,0.6999999999999997,-474.53395493040443,0.8999999999999986,1.4000000000000057,0.015006120267880035,-0.006886084305908979,0.005068278954873499,0.0028308403594624896,1.198021443616e-4,-174487.9,176300.3,0.1999999999999993,-11604.865039219992,-0.9000000000000057,0.30000000000000004,0.040000000000000036,0.8000000000000007,1806,1.757560035985989,-0.008469131299207566,-1.491082654067697e-4,DEMOCRAT,REPUBLICAN,FALSE,0.3757813790012502,-0.06984412032973741,-0.40847816312026675,0.0036656523824582198
PA,2012,42133,-0.05050836328037284,0.38621673001173606,2.3,-6906.264478217694,-3.3000000000000114,1.1000000000000014,0.011408901615520994,-0.017475912181792008,0.009242071407147404,0.0025210581388273,4.119157033894002e-5,-224402.9,212036.5,0.6000000000000014,-9891.247192153009,0.5,-0.5,0.04999999999999982,0.10000000000000142,13263,14.668511421774042,-0.0024731617305367992,-0.0012731641538652689,DEMOCRAT,REPUBLICAN,FALSE,0.386785323602619,-0.07587767782784996,-0.40847816312026675,6.394226293253945e-5
RI,2012,44007,-0.015346187449784665,0.4676567977542252,0.8999999999999995,-3249.6639301613905,-0.20000000000000284,0.10000000000000142,0.010656281087120023,-0.01761041123274598,0.018593352360297896,0.005596544492513698,-1.5787820396132024e-4,-297395.8,298316.6,1.7000000000000028,-11274.779523264006,0.3999999999999986,-0.2999999999999998,-0.0900000000000003,1.5,2173,5.306280753910187,-0.008579787695471963,0.003800310916934037,DEMOCRAT,REPUBLICAN,FALSE,0.6652515336399918,0.0084229646332864,-0.5123385634764133,-0.006835936984032016
SC,2012,45019,-0.043966953873077586,0.1707546002103273,2,-7456.382192378907,1.4000000000000057,-1.1000000000000014,0.021917833069374004,0.017302107031189062,-0.022337934704827034,6.781524424878012e-4,-0.00253728494805262,-164814.2,175938.6,6.300000000000004,-15887.522069319006,-1.2000000000000028,0.9000000000000001,0.020000000000000018,0.1999999999999993,17116,18.682374714576042,-0.004896010537122408,0.0027413412642691894,DEMOCRAT,REPUBLICAN,FALSE,0.5039175793255704,-0.05951745717822665,-0.39085145377015484,-0.005443180592932041
SC,2012,45045,-0.037324348493481097,0.1707546002103273,1.2999999999999998,-5988.668912270499,-2.000000000000007,0.30000000000000426,0.021607580995880005,-0.0010755924604579636,0.0040192917212709955,0.002840031032941101,0.0018794891320853598,-209220.6,211729.5,3,-11900.517897197016,3.6000000000000085,0.09999999999999987,0.08999999999999986,-0.10000000000000142,29486,37.55637860172601,0.006818085313025191,-0.00272245181650253,DEMOCRAT,REPUBLICAN,FALSE,0.35234925383950433,-0.03899832568558165,-0.39085145377015484,2.2880043799294002e-4
SC,2012,45063,-0.012302530434842529,0.1707546002103273,1.8999999999999995,-4606.092177918807,-0.6000000000000085,-0.10000000000000142,0.029380171170499014,-0.01202870131755307,-0.008044338451098004,0.0026020797741383005,2.0906909912544016e-4,-124173.1,130755.5,1.6000000000000014,-812.9927125429967,1.7999999999999972,0.20000000000000018,0.020000000000000018,0.5,21888,31.316026861876992,0.005094179778014407,-0.002605325235328215,DEMOCRAT,REPUBLICAN,FALSE,0.3032062722534473,0.0028980370703334812,-0.39085145377015484,9.237781294963851e-4
SC,2012,45079,0.004464877611740969,0.1707546002103273,1.8000000000000007,-7377.983176379799,-2.200000000000003,-1.3999999999999986,0.0021047006194819806,-0.018734081259448976,0.008621605214786998,0.0028504047279917996,-0.0011954012637733799,-173472,177972.4,1.1999999999999957,-9088.949274247992,-0.5,-0.3999999999999999,0.18000000000000016,-1.6999999999999993,29829,39.400690096518986,-7.305547687180836e-4,-0.005442673680623542,DEMOCRAT,REPUBLICAN,FALSE,0.6533860286263619,0.03059850979541312,-0.39085145377015484,-0.0026756187890191498
TN,2012,47037,-0.02642054309880959,0.23431587670362664,2.0000000000000004,-6371.410863579098,1,-2.8999999999999986,0.04653712739802801,-0.04305227062587802,0.011437768972677953,0.002117583547645501,-0.0016359295436913202,-312193.7,325340.9,9.600000000000001,-47484.15082127499,-1.0999999999999943,0,0.06999999999999984,0.1999999999999993,22151,43.94441333527993,0.01419360355580146,-3.285583371195888e-5,DEMOCRAT,REPUBLICAN,FALSE,0.5844662335169659,-0.02406878555225525,-0.4770700279927711,-8.5980361972815e-4
TN,2012,47065,-0.02942160256473586,0.23431587670362664,-0.3000000000000007,-4500.296419104001,-3.3999999999999986,-0.6000000000000014,-0.006936872196763977,-0.007771529370986907,3.772321828159897e-4,0.0054036116861657015,-9.430180298381202e-4,-162896.4,161191.4,3.3000000000000043,-11839.138937484007,-1,-0.09999999999999987,0.029999999999999805,0,12697,23.406784814397042,-0.02477985079399392,0.0019462469139116603,DEMOCRAT,REPUBLICAN,FALSE,0.4167416295393856,-0.03110257104305468,-0.4770700279927711,-5.644288317423907e-4
TN,2012,47093,-0.04834522384350981,0.23431587670362664,1.5000000000000004,-3438.888630401496,-1.8999999999999915,-0.6000000000000014,-0.0010764937971249888,-0.015280657457974911,0.0097047183770025,0.0021140836112427987,-6.103985090514801e-4,-217145.8,213442.6,3.3999999999999986,-17967.150653572986,1.5,0.19999999999999996,0.06000000000000005,1.2999999999999972,11292,22.21888813460498,-0.005106756745074437,0.0022263325709389594,DEMOCRAT,REPUBLICAN,FALSE,0.3443280562527897,-0.0616275632511149,-0.4770700279927711,-0.003028892002371419
