state,year,county_fips,d_inc_vote,d_gas,s_d_gas,d_log_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_lag,s_d_gas_lag,d_percent_pt_lag
FL,2018,12117,-0.04789832258940674,-0.16631185635974255,0.027659633565823637,-0.052822164382440695,-1.6,9671.1775261094,2.700000000000003,-0.09999999999999432,0.05358698591705097,-0.04644562369830196,0.00365810411612999,0.0062138672758607,0.0013830328177484401,-0.3,30255,32.199999999999996,200710.30321339,4.499999999999993,0.9000000000000001,-0.3700000000000001,-0.5999999999999979,25316,81.84351256587001,-0.016510982622959802,0.00488604615439582,REPUBLICAN,REPUBLICAN,TRUE,0.4909180516108709,0.09579664517881353,0.04599841769174251,0.00211585443014401,-0.0046743943929859295
FL,2018,12127,0.03453039480037545,-0.16631185635974255,0.027659633565823637,-0.052822164382440695,-1.4000000000000004,8842.291703576499,0.7999999999999972,0.10000000000000142,0.02321490659096201,-0.03325882053088802,0.006407951108403004,8.022538105132079e-4,-2.824590607836495e-4,-0.9,27749,41.6,55733.095747532,-1.3000000000000043,0.19999999999999973,-0.020000000000000018,0.8999999999999986,40007,36.340573133648036,-0.032158886871707204,-0.0021906237711052804,REPUBLICAN,REPUBLICAN,TRUE,0.5540198049685526,-0.0690607896007509,0.04599841769174251,0.00211585443014401,-3.917713704431388e-4
GA,2018,13051,-0.0563688857078094,-0.1801463311538214,0.03245270062818228,-0.05906899531031051,-1.2000000000000002,1884.3626295251015,2.700000000000003,1.7000000000000028,0.0018487903218449842,0.0015819692547329733,-0.0014196562165980087,-0.0021867947388062026,2.584864348241301e-4,0.10000000000000003,16481,10.700000000000003,190746.18611947692,-1.5999999999999943,0.5,0.03000000000000025,0,5816,13.57390020815103,0.010211096834606304,-0.010679107178232929,REPUBLICAN,REPUBLICAN,TRUE,0.40420943757074274,0.11273777141561869,0.0683167507126794,0.004667178427938381,0.007238984768470191
GA,2018,13067,-0.12173833086827157,-0.1801463311538214,0.03245270062818228,-0.05906899531031051,-2.1999999999999997,9734.768728620591,0.09999999999999432,0.6000000000000014,0.053440430737442035,-0.016977245039178968,0.003500217280013984,0.006827810706796195,0.0012652544180284703,0,34213,27.199999999999996,123075.13625977302,-1.5999999999999943,-0.7000000000000002,-0.020000000000000018,0.3000000000000007,25884,76.20415226807017,-0.01454983473542637,-0.0024392565394391087,REPUBLICAN,REPUBLICAN,TRUE,0.4513765404607647,0.24347666173654298,0.0683167507126794,0.004667178427938381,-0.0017661148146246013
GA,2018,13089,-0.05804428246263238,-0.1801463311538214,0.03245270062818228,-0.05906899531031051,-2.5,13582.243641286303,0.9000000000000057,0.6000000000000014,0.04079356479476004,-0.0025173624899640368,-0.004046299557576072,0.005527280412936202,0.0066447900569036305,-0.30000000000000004,39455,10.5,99747.87062400702,-0.6999999999999957,-0.30000000000000004,-0.07000000000000028,1.2000000000000028,34397,128.54379040083995,-0.011218401811308398,-8.413634808538822e-4,REPUBLICAN,REPUBLICAN,TRUE,0.15783394899424127,0.11608856492526476,0.0683167507126794,0.004667178427938381,-0.011563403097062691
GA,2018,13121,-0.0857500228497814,-0.1801463311538214,0.03245270062818228,-0.05906899531031051,-2.8,14689.062974622706,0.5999999999999943,0.6000000000000014,0.04891379362794496,-0.014148626911640039,-0.004602259825699007,0.01010390088414459,3.2559861745357034e-4,-0.10000000000000003,62859,4.600000000000001,158048.216508958,1,-0.40000000000000013,-0.08000000000000007,1.0999999999999979,53795,102.14518215098997,-0.0435166632625581,0.00174051793707182,REPUBLICAN,REPUBLICAN,TRUE,0.26929548596215264,0.1715000456995628,0.0683167507126794,0.004667178427938381,-0.004586643201585444
GA,2018,13135,-0.1310923574684466,-0.1801463311538214,0.03245270062818228,-0.05906899531031051,-1.8000000000000003,11363.475960526499,0,0.7999999999999972,0.010141277181274,-0.05767044908337804,0.023482757323803005,0.0076826089014189886,0.0018279148175205295,-0.1,45247,30.699999999999996,50286.692363486014,-0.4000000000000057,-1.6999999999999997,-0.029999999999999805,1.7999999999999972,49859,115.82589129851999,0.002716399612961551,-0.0044485163358448584,REPUBLICAN,REPUBLICAN,TRUE,0.42751571063501503,0.26218471493689327,0.0683167507126794,0.004667178427938381,-2.717019074153313e-4
GA,2018,13215,-0.011072223195626951,-0.1801463311538214,0.03245270062818228,-0.05906899531031051,0,3189.0371339490957,-5.400000000000006,0.4000000000000057,-0.008586034488353989,-0.02607147849862701,0.02385677500815403,-0.001653182223160899,-0.0036452971317366203,0.6,-10887,-3.8999999999999986,129949.26762548988,-4.200000000000003,-1.4999999999999998,-0.029999999999999805,0.5,-6727,-31.082783731513018,-0.02681313404072072,-0.00649678669081619,REPUBLICAN,REPUBLICAN,TRUE,0.3876452794141061,0.022144446391254013,0.0683167507126794,0.004667178427938381,0.01432415746086789
HI,2018,15003,0.09229366452035637,0.38659188541990996,0.1494532858725208,0.0897138920963112,-0.9000000000000004,6573.724486782608,0.9000000000000057,1.3999999999999986,0.025835349964935972,-0.012279461672088987,-0.001116498832893803,-0.00231217443467302,6.575681975281101e-4,0,8381,9.799999999999997,654749.688988224,-0.7999999999999972,-0.9000000000000001,-0.029999999999999805,-0.6000000000000014,-11708,-19.49298739044002,0.02425474337738298,-0.020355923578570245,DEMOCRAT,DEMOCRAT,TRUE,0.6356310508431109,0.18458732904071257,0.029039969467923754,8.433198266979439e-4,0.00698064393749602
HI,2018,15009,0.033805700735180966,0.38659188541990996,0.1494532858725208,0.0897138920963112,-2.3,14773.313102955202,-1.0999999999999943,-0.10000000000000142,0.042259373871535,-0.007857569467769998,-0.00321267993854086,0.02140330656739403,3.961459235596e-4,-2.4,3731,20.9,747344.2660582411,4.3999999999999915,0.9000000000000001,0.1599999999999997,0.40000000000000213,4172,3.591813531510013,6.981703452498822e-4,0.00637711770614989,DEMOCRAT,DEMOCRAT,TRUE,0.6861497737170182,0.06761140147036193,0.029039969467923754,8.433198266979439e-4,0.01155996947433529
ID,2018,16001,0.03935734845639893,0.04790007076339453,0.0022944167791382037,0.013597070438658543,-0.5,6485.088265623606,0.7000000000000028,1,0.03472395198210804,-0.011469715885086051,0.0013388030463089996,2.804283331506001e-4,-0.0027284957081277596,-0.30000000000000004,28549,36.8,228785.4119441,-1.4000000000000057,-1.3,-0.040000000000000036,-0.1999999999999993,43730,41.54550471615204,0.0013600332295198303,-6.307057078882299e-4,REPUBLICAN,REPUBLICAN,TRUE,0.4944306930693069,-0.07871469691279787,0.034798531208434014,0.001210937774264356,-6.850340654553904e-4
IL,2018,17031,-0.08697267804135744,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-2,6179.5237987078,0.3999999999999915,0.8999999999999986,0.030353274520370954,0.007293677627826067,-0.006092057803500001,0.005094842908366801,1.856400052204399e-4,0,94226,13.400000000000006,-1126941.417587708,-1.3999999999999986,-0.30000000000000004,-0.0900000000000003,0.8000000000000043,-65963,-69.78319489085061,-0.008140835062786955,0.0034251219966724977,REPUBLICAN,DEMOCRAT,FALSE,0.2524065311247061,0.17394535608271494,0.0422573885590527,0.001785686887830758,0.014301585732035549
IL,2018,17043,-0.13477681406686126,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-1.5,11106.029932175996,0.5,0.5,0.02663156057619498,-0.03359461534933694,-0.0010047935718000972,0.009162614669672997,0.0029420829446121,0,17511,45.7,71089.90206589102,-0.4000000000000057,-0.19999999999999996,-0.07000000000000028,0.5999999999999979,-4119,-12.573823927799822,-0.016363583322591024,0.001101871901482726,REPUBLICAN,DEMOCRAT,FALSE,0.4880995526278402,0.26955362813372236,0.0422573885590527,0.001785686887830758,0.0012312087111159553
IL,2018,17089,-0.13326779639992342,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-1.6000000000000005,3586.952428326709,-0.3999999999999915,1.2000000000000028,0.006200246996231007,0.03471641692720606,-0.0011447577634437003,0.004482313409577901,-0.0010675143524314797,-0.2,14075,48,141565.489208698,-0.09999999999999432,0.30000000000000027,-0.1499999999999999,0.8999999999999986,6910,13.287299429149925,-0.005057783218599732,-0.007004023749514667,REPUBLICAN,DEMOCRAT,FALSE,0.4873233753050145,0.26653559279984673,0.0422573885590527,0.001785686887830758,3.6509083383132884e-4
IL,2018,17097,-0.13319552998085504,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-1.1,5798.552823848993,-0.8000000000000114,0.5,0.018938354967202975,-0.07758182185901197,-5.586939171002975e-4,0.0115425088573963,0.0036478001707097602,0,9046,47.900000000000006,100150.07676489599,-1.2999999999999972,-0.09999999999999964,-0.0900000000000003,0.5999999999999979,-4354,-9.81517300707992,0.001561456659959215,0.005425651383035808,REPUBLICAN,DEMOCRAT,FALSE,0.45940140401025686,0.2663910599617099,0.0422573885590527,0.001785686887830758,0.005232818312456158
IL,2018,17111,-0.12487860357317404,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-1.1,4991.445071342998,-0.20000000000000284,0.7999999999999972,0.035244375672773,-0.004866188251620995,0.004440913410276401,0.003505945174338502,5.7784210593565e-4,0.4,5279,59,177239.44899476497,1.2000000000000028,0.30000000000000004,-0.10999999999999988,-1.6000000000000014,1287,2.1335246313219614,0.005637739315228374,-0.0071223939528428475,REPUBLICAN,DEMOCRAT,FALSE,0.5549648148317609,0.2497572071463482,0.0422573885590527,0.001785686887830758,0.0044752976091849556
IL,2018,17113,-0.1305764327872725,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-1.4999999999999998,5840.070692754089,-4.400000000000006,0.8999999999999986,0.013917602709527022,-9.372852214206695e-5,-0.0029197689907119045,0.003976240893828899,0.00125857564640638,0.3999999999999999,-4089,28.199999999999996,161626.30626763162,-0.6999999999999957,-1.4000000000000001,-0.019999999999999574,-0.09999999999999787,-1233,-1.0419575407069885,-0.0084573118956911,-0.01267511062822023,REPUBLICAN,DEMOCRAT,FALSE,0.525353592499798,0.26115286557454503,0.0422573885590527,0.001785686887830758,0.008848042093435388
IL,2018,17119,-0.10896654062634348,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-1.1000000000000005,2802.046591953491,1.1000000000000014,-0.3999999999999986,0.005993286504928974,-0.012040342920891067,0.0016527779119406005,2.660029275019099e-4,0.0010515525506809799,-0.09999999999999998,3562,39.400000000000006,74757.60432045761,3.1000000000000014,0.2999999999999998,-0.08000000000000007,1.3000000000000007,-2099,-2.9326597628120226,0.010063191595234056,-0.01472803995119881,REPUBLICAN,DEMOCRAT,FALSE,0.5093321482986287,0.21793308125268682,0.0422573885590527,0.001785686887830758,0.011770354935486501
IL,2018,17163,-0.1057509159856474,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-1.0999999999999996,7070.472120388891,3.8000000000000043,1.8999999999999986,0.04058993474009298,-0.014435653442084972,0.004221908214019021,0.0027097972436529,7.7660550015928e-4,-0.20000000000000007,8810,30,80353.13962292152,-5.799999999999997,0.3999999999999999,-0.16000000000000014,-0.5,-4670,-7.099647599223999,0.04700505052643833,-0.038387693389117045,REPUBLICAN,DEMOCRAT,FALSE,0.4351477015258733,0.2115018319712949,0.0422573885590527,0.001785686887830758,0.01941586378450691
IL,2018,17197,-0.10613255114166215,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-1.1,8063.181605498103,0.29999999999999716,1.3000000000000043,0.009357826231130961,0.007300583855233023,1.7405248128599116e-4,-9.830598504569008e-4,0.00215743681821782,0,17673,60.6,64769.44229420999,-1.0999999999999943,0.10000000000000009,-0.06999999999999984,-0.20000000000000284,6891,8.233642844420956,-0.02179642909241586,0.004887034255520083,REPUBLICAN,DEMOCRAT,FALSE,0.4666170598439981,0.21226510228332418,0.0422573885590527,0.001785686887830758,-0.009888036825894952
IL,2018,17201,-0.10686688429566638,-0.15786797928047802,0.02492229888210144,-0.04840129346991917,-2.9000000000000004,4205.01053160771,-0.9000000000000057,-0.10000000000000142,-0.014370627970221012,0.0010875188772689892,0.0030701778019429915,0.0058995696752096,-0.0015766434159436699,-0.4,3145,30.10000000000001,56024.120864394295,2.9000000000000057,0.3999999999999999,-0.040000000000000036,1.1999999999999993,-4461,-8.689544576957019,0.012124975501845325,-0.005061746248693379,REPUBLICAN,DEMOCRAT,FALSE,0.4865005437609343,0.21373376859133286,0.0422573885590527,0.001785686887830758,0.001437366006813089
IN,2016,18003,0.0033590255168369776,-0.47428692018855667,0.22494808266194632,-0.15191357541124506,-2.6,-8.898961962899193,-1.1000000000000085,0.09999999999999432,0.02872969764509803,0.005308553037710939,-0.004203196727816008,0.010805105770307001,-0.00183522167191736,-0.10000000000000003,10695,36.6,27773.071283391997,-0.8999999999999986,-0.6000000000000001,0,1.3000000000000007,9992,15.201205697639011,0.014612397443319214,0.0051651124033599,REPUBLICAN,REPUBLICAN,TRUE,0.565264126685261,-0.006718051033673955,0.2638956705481621,0.06964092493406411,-0.00195161898560615
IN,2016,18039,0.031704337926149684,-0.47428692018855667,0.22494808266194632,-0.15191357541124506,-1,8974.262979094106,1.3000000000000114,0.9000000000000057,0.011441815206751,0.02835336125237098,-0.005354145377901201,-6.607133185310005e-4,0.00423185747907675,-0.9,5433,34.099999999999994,104119.224738676,-2.5,-0.39999999999999947,-0.010000000000000231,-0.6000000000000014,4162,8.98582717438103,5.790734603683401e-4,0.0038287355882311905,REPUBLICAN,REPUBLICAN,TRUE,0.6283993115318417,-0.06340867585229926,0.2638956705481621,0.06964092493406411,-0.00259981635458761
IN,2016,18089,0.02449542759803297,-0.47428692018855667,0.22494808266194632,-0.15191357541124506,-3.9,4430.975341173005,-0.7999999999999972,0.8999999999999986,0.02181962051157299,-0.0029821632603220793,-0.009756132474911972,-0.001263558914442001,-1.0232374072621005e-4,-0.10000000000000003,11353,38,26152.172619046993,-2.4000000000000057,0.7000000000000002,-0.16000000000000014,1.5,-7772,-15.575914690547961,-0.010307076515127966,0.0020601301312804104,REPUBLICAN,REPUBLICAN,TRUE,0.3376678026682183,-0.048990855196066,0.2638956705481621,0.06964092493406411,-0.0038285108126617715
IN,2016,18097,-0.02081957994846989,-0.47428692018855667,0.22494808266194632,-0.15191357541124506,-3.6,2082.6858449477004,-1.4000000000000057,0.3999999999999986,0.01631821355236701,-0.009734389990465941,0.009113449622163039,0.009611512268701501,-8.924353306111205e-4,-0.19999999999999998,28110,6.699999999999996,-100056.01988966399,-3.1999999999999957,-0.8000000000000003,0.019999999999999574,0.5,22252,56.144971084089775,0.01076810582999066,-0.007971847082020709,REPUBLICAN,REPUBLICAN,TRUE,0.3604918858073749,0.041639159896939726,0.2638956705481621,0.06964092493406411,9.542050652913969e-4
IN,2016,18141,0.015197202761334405,-0.47428692018855667,0.22494808266194632,-0.15191357541124506,-2.4,1421.1217624855053,-2.700000000000003,0,-0.003435994334968051,-0.016708110524652042,0.0013668782893259956,0.0056558660945468,0.0037675428550625095,-0.2,162,36.2,69163.9743031359,-1.6000000000000085,-0.8000000000000003,0.14000000000000012,1.5,2797,6.109006567253914,-0.004192440955084309,0.0041740274528175286,REPUBLICAN,REPUBLICAN,TRUE,0.457834148902263,-0.030394405522668713,0.2638956705481621,0.06964092493406411,0.00430653984422661
IN,2016,18157,0.017201283955509516,-0.47428692018855667,0.22494808266194632,-0.15191357541124506,-2.1000000000000005,9079.3474375726,0.5,0.3000000000000007,0.033137764336890974,-0.051026894455503014,0.0055598668479305,0.018321124247718104,5.5754258536294e-4,0.09999999999999987,8721,12.100000000000001,146230.6286295002,2.5,1.2,0.08000000000000007,0.1999999999999993,10546,21.100307432845,0.011408706738361807,0.0020124878941836094,REPUBLICAN,REPUBLICAN,TRUE,0.4992298136645963,-0.03440256791101898,0.2638956705481621,0.06964092493406411,0.007131665940315071
IN,2016,18163,0.01485885685854782,-0.47428692018855667,0.22494808266194632,-0.15191357541124506,-1.1000000000000005,3592.7698315910966,0.10000000000000853,0.5,0.022569157269602985,-0.013094134501452026,0.0017358712235161916,8.047717748819998e-4,-0.0024022835699383602,0.4,1914,26.5,97948.8516260159,-1.7000000000000028,-0.9000000000000004,0.009999999999999787,1.3999999999999986,863,3.696072293251973,0.00815113868317996,5.864392441970699e-4,REPUBLICAN,REPUBLICAN,TRUE,0.5412284928711131,-0.02971771371709575,0.2638956705481621,0.06964092493406411,0.01009642721507991
IA,2018,19103,-0.12097212137933161,-0.15610229028088352,0.02436792503093722,-0.04870473381716134,0.19999999999999973,-1108.0051499637048,2.1000000000000085,-0.1999999999999993,0.0034651582850350193,-0.026043336516530013,0.014854580704578901,0.0012364819235138047,-3.8814999914957987e-4,-0.6,7555,19.799999999999997,250345.38219666173,-1.6000000000000014,-0.3999999999999999,-0.050000000000000266,1.1999999999999993,8973,14.61306158152999,0.03687222203709062,4.532826455886027e-4,REPUBLICAN,REPUBLICAN,TRUE,0.2709302151711351,0.24194424275866325,0.041802366536965785,0.0017474378480908368,-0.01193353104535829
IA,2018,19113,-0.10534074769063823,-0.15610229028088352,0.02436792503093722,-0.04870473381716134,-0.20000000000000018,-3397.6599009984056,-0.6000000000000085,0.6999999999999957,0.002233435860756028,-0.01913931966429394,0.013964689596262299,2.7994053931900548e-5,7.979156831717601e-4,0,4678,50.300000000000004,108556.24035233531,-6.300000000000004,-1.3000000000000003,0,-0.9000000000000021,8158,11.379631179915009,-0.002012473252416047,-0.00304691409095811,REPUBLICAN,REPUBLICAN,TRUE,0.4278442993065635,0.2106814953812765,0.041802366536965785,0.0017474378480908368,-0.006320017735199091
IA,2018,19153,-0.12063788618831217,-0.15610229028088352,0.02436792503093722,-0.04870473381716134,-0.6000000000000001,4513.108550514706,-0.7999999999999972,0.6999999999999957,0.03409848781705904,-0.023617301418034975,0.0014480256407904957,0.007493556394864598,4.993668240433102e-4,-0.5999999999999999,15572,33.9,79582.744562707,-2.200000000000003,0.10000000000000009,0,0.6999999999999993,27342,47.65024896421903,-0.013463919808463176,0.0028513502099524503,REPUBLICAN,REPUBLICAN,TRUE,0.4068120159818478,0.2412757723766244,0.041802366536965785,0.0017474378480908368,-0.00383946782823516
KS,2018,20091,-0.0965477278516727,-0.15461529432855015,0.02390588924030419,-0.04856282796513356,-0.9000000000000001,8094.779570650004,0.20000000000000284,0.8999999999999986,0.02932596851375502,-0.008279189442842005,-2.306195955640994e-4,0.005416290683054006,0.00145855189259321,-0.19999999999999996,22585,37.7,145212.75636628503,-1.2000000000000028,-0.6999999999999997,-0.020000000000000018,0,23283,49.181479477679886,-0.01231308680787424,-6.594479751350704e-4,REPUBLICAN,REPUBLICAN,TRUE,0.40978496980808704,0.19309545570334533,0.04172140007934111,0.0017406752245804442,4.434595520516702e-4
KS,2018,20173,-0.04488053583701618,-0.15461529432855015,0.02390588924030419,-0.04856282796513356,-1,2233.9166072322987,0.9000000000000057,1.1000000000000014,0.010277686874598013,-0.023060312998908983,-0.002321669458132697,-0.004306285957935099,0.00247136518020534,-0.6,11149,27.700000000000003,22023.967440599983,-2.799999999999997,-0.19999999999999973,-0.06000000000000005,1.1000000000000014,4804,4.815939469764032,-0.012709646887010373,5.526417774956993e-4,REPUBLICAN,REPUBLICAN,TRUE,0.4666469155309764,0.08976107167403236,0.04172140007934111,0.0017406752245804442,-0.0036049021730283695
ME,2018,23005,-0.07518443897712312,-0.1566231186843674,0.024530801306417438,-0.044881350598463765,-1.5,8377.427774067794,0.4000000000000057,0,0.03123167561641904,-0.006912673529281044,0.0013294193534022988,0.003966725269873801,-0.00138082491712403,-0.2999999999999998,10186,36.3,263363.981954684,-3.1000000000000014,-1.7999999999999998,-0.06999999999999984,-0.3999999999999986,5760,6.895569330233968,-0.01887350027140411,-0.006585339318750489,REPUBLICAN,REPUBLICAN,TRUE,0.3612762435096696,0.15036887795424614,0.1293318421094236,0.01672672538341688,0.009211650101337069
ME,2018,23019,-0.037471650231294173,-0.1566231186843674,0.024530801306417438,-0.044881350598463765,-1.5999999999999996,3012.4171288914004,-0.3999999999999986,0.30000000000000426,0.02927377186927299,-2.5645358084103176e-4,7.295728917225998e-4,-0.0024515623533007003,0.0033520415730829995,-0.3999999999999999,1195,34.3,131523.3463331683,-0.10000000000000142,-0.8000000000000003,-0.050000000000000266,-1.9000000000000021,-2318,-0.6822981871804004,-0.024740205982655028,-0.00940247695623956,REPUBLICAN,REPUBLICAN,TRUE,0.5212825585229146,0.07494330046258835,0.1293318421094236,0.01672672538341688,0.00584590684266657
MD,2018,24003,0.021066017585115504,-0.0626945410286166,0.003930605474788891,-0.018411770220381207,-1.2999999999999998,6626.948127857002,-1.3000000000000114,-0.09999999999999432,0.02530442200053301,-0.03694123068305599,8.996404231140231e-4,9.187205415435024e-4,1.1555390052903004e-4,-0.10000000000000003,5756,48.00000000000001,264568.076349991,0.29999999999999716,-0.6000000000000001,-0.050000000000000266,3.599999999999998,15898,38.31898444167996,-0.016640424223369643,0.011209703535681417,REPUBLICAN,DEMOCRAT,FALSE,0.6937392156257033,-0.04213203517023101,0.1171527823257219,0.013724774406657978,-4.328991487151379e-4
