state,year,county_fips,d_inc_vote,d_gas,s_d_gas,d_log_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean
AZ,2014,04019,-0.010387547633466887,0.02314788409554458,5.358245381007657e-4,0.00701389379105799,-1.3999999999999995,-2914.8375734900983,-0.7999999999999972,0.20000000000000284,0.008025095185463016,-0.03472884728620096,-4.4886283255189674e-4,1.7027558650959881e-4,-2.1104131305759583e-4,0.4,18665,3.5,-39884.10642610601,-2,-0.20000000000000018,0.009999999999999787,0.5,22362,2.4340819215119893,-0.00368538287478537,0.009060634476699768,REPUBLICAN,REPUBLICAN,TRUE,0.4742814385115016,0.020775095266933722
AZ,2018,04019,0.011757713991604968,0.31116244897959167,0.09682206965497699,0.08979818789680905,-2.2,6034.844645536796,-1.6000000000000014,1,0.00773799383735102,-0.03078280601268002,0.002488969180643494,0.002648317469490801,0.011387352616654599,-0.30000000000000004,23469,22.4,-63032.301894477976,0.30000000000000426,0.7999999999999998,0.009999999999999787,1.1000000000000014,34557,3.7614957947270113,0.007777565297353628,-0.007730521554623011,REPUBLICAN,REPUBLICAN,TRUE,0.4860391525031066,-0.023515427983209825
AZ,2014,04021,0.009162046662164025,0.02314788409554458,5.358245381007657e-4,0.00701389379105799,-3.9000000000000004,-6000.984272513699,-4.300000000000004,3.1000000000000014,0.006026950177676987,0.056590732203129934,3.0571151959219584e-4,0.0028635471816460013,-0.0012174479856911988,1.9,9766,10.900000000000002,-15756.855569096006,0,-0.2999999999999998,-0.15000000000000036,-0.8999999999999986,18076,3.3688291093906884,0.01300818444548446,-0.0022823978672660596,REPUBLICAN,REPUBLICAN,TRUE,0.6125526362611945,-0.018324093324327995
AZ,2018,04021,0.04730552474097083,0.31116244897959167,0.09682206965497699,0.08979818789680905,-0.49999999999999956,7711.908431797405,-0.10000000000000142,1.3999999999999986,0.025799947928210998,-0.005871926069062949,-0.001453733793409899,-0.003676094127544601,-0.0021175076754496036,-0.19999999999999973,20253,45.39999999999999,132521.818220363,3.1999999999999886,0.3999999999999999,0,1.1000000000000014,45220,8.42766388175761,-0.008746427058641704,4.703736184631798e-4,REPUBLICAN,REPUBLICAN,TRUE,0.6598581610021653,-0.0946110494819416
AZ,2018,04027,-0.0290604409600006,0.31116244897959167,0.09682206965497699,0.08979818789680905,-1.9000000000000004,1203.7086477295015,-3.299999999999997,1.1000000000000014,0.03306435765111099,0.08949438230042606,0.004773653983498799,0.0034970616147761008,0.0027619044286517,-2.3000000000000007,1240,31.800000000000004,114090.179862597,0.29999999999999716,-0.10000000000000009,-0.040000000000000036,1.3999999999999986,8881,1.6106283033586024,0.04575339765521902,-0.007629953429514041,REPUBLICAN,REPUBLICAN,TRUE,0.5567096549320321,0.0581208819200012
AR,2018,05007,-0.013296496841787908,-0.1780084183909345,0.03168699701804199,-0.05717825874936633,-0.40000000000000013,8412.311737102005,4.5,0.10000000000000142,0.03548669253947101,-0.011007965243104989,0.0020828527865776013,0.0047141209698787,-0.0024410554814138005,0.3999999999999999,24943,33.7,170205.6371811933,-2,-1.1,-0.08999999999999986,0.1999999999999993,30287,35.74120906838499,0.005142494491253591,0.0010766891452104912,REPUBLICAN,DEMOCRAT,FALSE,0.7044277559237626,0.026592993683575872
AR,2014,05119,-0.13984933587224924,-0.008190869885632335,6.709034948335866e-5,-0.002553928725039123,-1.5,-4538.1447388990055,-2.299999999999997,0.7000000000000028,0.034207663671303956,-0.017020479051948034,7.517523425220052e-4,-3.276983426442996e-4,-0.00301977269584355,0.4,3492,0.5,-13567.528124853008,-3.1999999999999957,0.5000000000000002,0.1299999999999999,0.7999999999999972,9070,11.937890945744016,-0.011613036318653402,0.0030150346457398208,DEMOCRAT,DEMOCRAT,TRUE,0.5751037211462989,-0.2796986717444986
AR,2018,05119,0.049472911053337454,-0.1780084183909345,0.03168699701804199,-0.05717825874936633,-1.3999999999999995,2534.880677112,0.6999999999999957,1.2999999999999972,4.757186859919993e-4,-0.03743768201493203,0.012890510813822975,0.002881336434298099,0.0037410490115909302,-0.5,7119,17.1,88265.73204137498,1.8999999999999986,-0.5000000000000002,-0.08999999999999986,1.2000000000000028,-22,-0.028956295568036694,-0.010084577679694062,-0.003368183539023641,REPUBLICAN,DEMOCRAT,FALSE,0.4743691899070385,-0.0989458221066748
AR,2014,05143,-0.19275682626088952,-0.008190869885632335,6.709034948335866e-5,-0.002553928725039123,-2.5,4639.208953463203,-1.5,0.6000000000000014,0.03540520229718497,0.012866449198364993,-0.008265952244297204,6.261334160113999e-4,9.651856714047499e-4,-1.4,11079,1.8999999999999986,-3096.0908270469954,-3,-0.20000000000000018,0.06000000000000005,1.9000000000000021,16669,17.69531881423299,0.008626053435340397,-0.00910271392633235,DEMOCRAT,DEMOCRAT,TRUE,0.4266088214027477,-0.38551365252177905
AR,2018,05143,-0.011564817261378035,-0.1780084183909345,0.03168699701804199,-0.05717825874936633,-1.5999999999999996,3216.753811745395,-1.8999999999999915,0.6000000000000014,0.04655543309461002,-0.03657204412744597,0.006191715657351399,0.0017437563530526001,0.0038082863472705,0.8,7678,7.900000000000006,153406.5968673201,5.299999999999997,2.2,-0.06999999999999984,-1.6000000000000014,16169,17.16453355974099,-0.03504305283200482,0.0031204083165269295,REPUBLICAN,DEMOCRAT,FALSE,0.5618263613358743,0.023129634522756126
