state,year,county_fips,d_inc_vote,d_gas,s_d_gas,d_log_gas,d_unemp,d_income,d_lfpr,d_age,d_edu,d_white,d_black,d_asian,d_native,d_manufacturing,d_edu_health,d_homeowner,d_home_value,d_family_hh,d_married,d_hh_size,d_commute,d_pop,d_pop_density,d_percent_car,d_percent_pt,incumbent_party,lag_incumbent_party,same_party_incumbent,incumbent_vote_pct,d_partisan_lean,d_gas_future,s_d_gas_future,d_percent_pt_future
GA,2014,13135,-0.04560172059856504,0.0683167507126794,0.004667178427938381,0.02199199257741591,-4.3999999999999995,-3937.969734002996,-3.5999999999999943,1.1000000000000014,0.01322960013116603,-0.013063671210674976,0.020996680930759987,0.005497447589502005,0.00341183826309091,0,44420,3.799999999999997,-24471.588906728983,-0.20000000000000284,1.0999999999999996,0.1200000000000001,2,69203,160.76333571735995,0.024474600484821862,-2.717019074153313e-4,REPUBLICAN,REPUBLICAN,TRUE,0.5586080681034616,0.09120344119713011,-0.1801463311538214,NA,-0.0044485163358448584
GA,2014,13215,-0.008692360997491155,0.0683167507126794,0.004667178427938381,0.02199199257741591,-1,5014.969424264898,3,0.7999999999999972,0.04225289709028801,-0.016724182494219975,-0.005322582554357025,-6.269676614442006e-4,0.0018016448479699003,-0.1,14759,6,-8974.861565112697,-1.2999999999999972,1.4999999999999998,0.19999999999999973,-0.6000000000000014,10470,48.37769372215598,0.06743368197234445,0.01432415746086789,REPUBLICAN,REPUBLICAN,TRUE,0.39871750260973304,0.01738472199498231,-0.1801463311538214,NA,-0.00649678669081619
HI,2014,15003,-0.028935031677785217,0.029039969467923754,8.433198266979439e-4,0.0070756350855547545,-0.7999999999999998,334.86727754218737,-1.1000000000000085,-1.2999999999999972,0.007315940530541021,0.008397206994649992,0.007545340773735101,-0.019942032775960017,-7.129618005335999e-4,-0.10000000000000009,11835,1.7000000000000028,-26672.46330940799,2,0.40000000000000013,0.10999999999999988,3.1000000000000014,36013,59.95908395045012,-0.011176020197691261,0.00698064393749602,DEMOCRAT,REPUBLICAN,FALSE,0.5433373863227545,-0.05787006335557038,0.38659188541990996,NA,-0.020355923578570245
HI,2014,15009,0.03809274895680115,0.029039969467923754,8.433198266979439e-4,0.0070756350855547545,-4.700000000000001,1629.5832425330009,-2.6000000000000085,2,0.002957100610533031,0.003594125887513011,0.00679520656500135,0.028569752084776967,-0.00177784824319943,0.6000000000000001,7307,2.3999999999999986,-3328.959971734199,1.9000000000000057,-1.0999999999999999,0.010000000000000231,2.8000000000000007,7876,6.780710300619006,-0.0023654207171543984,0.01155996947433529,DEMOCRAT,REPUBLICAN,FALSE,0.6523440729818373,0.07618549791360227,0.38659188541990996,NA,0.00637711770614989
ID,2014,16001,-0.12217161236778756,0.034798531208434014,0.001210937774264356,0.009995272891647922,-3,3703.98939103639,-2.799999999999997,1.3999999999999986,0.014584102049910008,-0.013541950731838948,0.0034856607518397014,0.004156416433641199,0.0020542904431455197,0.40000000000000013,20563,-0.19999999999999574,-1609.9545097690134,0.5,0.3999999999999999,0.050000000000000266,0.5999999999999979,32705,31.071249296632004,0.022870268813274586,-6.850340654553904e-4,REPUBLICAN,REPUBLICAN,TRUE,0.455073344612908,0.24434322473557502,0.04790007076339453,NA,-6.307057078882299e-4
IL,2014,17031,-0.031733429328185014,0.0422573885590527,0.001785686887830758,0.012727956014960684,-2.299999999999999,-1044.5099339904118,-0.3999999999999915,0.8000000000000043,0.02342196730721402,6.355551763950196e-4,-0.008665661762966986,0.007176991335132901,1.5798007873699983e-5,0.1,123257,2.5,-178158.34520565998,-0.7000000000000028,0.10000000000000009,0,1.3999999999999986,45506,48.14144394135019,-0.018083319204569737,0.014301585732035549,DEMOCRAT,DEMOCRAT,TRUE,0.6606207908339364,-0.06346685865637014,-0.15786797928047802,NA,0.0034251219966724977
IL,2014,17043,-0.038250768342362906,0.0422573885590527,0.001785686887830758,0.012727956014960684,-2.8,1811.7027921170084,-2.5,1,0.021001336981236962,-0.011703230883923998,8.223508279004976e-4,0.011828064784945996,-0.0011405307224064,-0.2,15800,2.1000000000000014,-32728.155820896034,0.29999999999999716,-0.30000000000000004,0,-0.09999999999999787,13944,42.56601137394955,-0.0033067070077743566,0.0012312087111159553,DEMOCRAT,DEMOCRAT,TRUE,0.3771236333052986,-0.07650153668472587,-0.15786797928047802,NA,0.001101871901482726
IL,2014,17089,-0.03577855685941844,0.0422573885590527,0.001785686887830758,0.012727956014960684,-3.3999999999999995,1627.5746785379015,-1,1.8999999999999986,0.011327502123230027,-0.03289709533337404,-0.0016246139413026994,0.0030556952033197957,0.0028505959330691194,-0.19999999999999996,21123,4,-21338.453872568003,-1.5,0.19999999999999973,0.020000000000000018,-1.1999999999999993,10807,20.780874809100965,-0.005364462289016103,3.6509083383132884e-4,DEMOCRAT,DEMOCRAT,TRUE,0.3794088282950621,-0.071557113718837,-0.15786797928047802,NA,-0.007004023749514667
IL,2014,17097,-0.05092784935515249,0.0422573885590527,0.001785686887830758,0.012727956014960684,-3.8999999999999995,-4389.966082813,-1.6999999999999886,1.2000000000000028,0.024705133105604016,0.05940713125515196,-9.556655138984044e-4,0.00829557361515311,-0.00264086742791678,0,10795,2,-24480.99571190102,-1.5,0.09999999999999964,-0.06000000000000005,0.9000000000000021,590,1.3300303339799484,-0.017337295095133154,0.005232818312456158,DEMOCRAT,DEMOCRAT,TRUE,0.40740306600888815,-0.10185569871030498,-0.15786797928047802,NA,0.005425651383035808
IL,2014,17111,-0.05123612639611319,0.0422573885590527,0.001785686887830758,0.012727956014960684,-4.699999999999999,2508.4076646511967,-2.5999999999999943,1.8000000000000043,0.0038724198086089734,0.03439594377635802,0.003527546559342001,-0.0026044712620402997,-0.00278134208725743,0,8109,3.8999999999999986,-15468.134089838,-0.20000000000000284,-1.5,-0.029999999999999805,1.2999999999999972,-1909,-3.164645315613029,-0.0068265865104998324,0.0044752976091849556,DEMOCRAT,DEMOCRAT,TRUE,0.32015658159506505,-0.10247225279222649,-0.15786797928047802,NA,-0.0071223939528428475
IL,2014,17113,0.021182614614356776,0.0422573885590527,0.001785686887830758,0.012727956014960684,-1.6000000000000005,-8780.99767318739,-1.5,-0.20000000000000284,0.037530258930880966,-0.008810705030777966,0.019482168976487496,0.003273431169873199,-0.0016944604894720602,-0.19999999999999996,3553,5.200000000000003,-4963.137872942301,-2.3000000000000043,0,-0.11000000000000032,0.5999999999999979,4229,3.5737538034469765,0.010899849466638134,0.008848042093435388,DEMOCRAT,DEMOCRAT,TRUE,0.34406997471292955,0.04236522922871355,-0.15786797928047802,NA,-0.01267511062822023
